[1/651] ok    ACMESOLAR (407 rows)
[2/651] ok    AADHARHFC (532 rows)
[3/651] ok    AARTIIND (1856 rows)
[4/651] ok    AAVAS (1856 rows)
[5/651] ok    ACE (1856 rows)
[6/651] ok    ACUTAAS (1190 rows)
[7/651] ok    ABFRL (1856 rows)
[8/651] ok    ABLBL (257 rows)
[9/651] ok    ABREL (1856 rows)
[10/651] ok    ABSLAMC (1171 rows)
[11/651] ok    CPPLUS (227 rows)
[12/651] ok    AEGISLOG (1854 rows)
[13/651] ok    AEGISVOPAK (273 rows)
[14/651] ok    AFCONS (414 rows)
[15/651] ok    AFFLE (1708 rows)
[16/651] ok    ABDL (499 rows)
[17/651] ok    ARE&M (1856 rows)
[18/651] ok    AMBER (1856 rows)
[19/651] ok    ANANDRATHI (1128 rows)
[20/651] ok    ANANTRAJ (1856 rows)
[21/651] ok    ANGELONE (1424 rows)
[22/651] ok    ANURAS (1305 rows)
[23/651] ok    APTUS (1204 rows)
[24/651] ok    ASAHIINDIA (1856 rows)
[25/651] ok    ASTERDM (1856 rows)
[26/651] ok    ATHERENERG (292 rows)
[27/651] ok    ATUL (1856 rows)
[28/651] ok    BEML (1856 rows)
[29/651] ok    BLS (1856 rows)
[30/651] ok    BALRAMCHIN (1856 rows)
[31/651] ok    BANDHANBNK (1856 rows)
[32/651] ok    BATAINDIA (1856 rows)
[33/651] ok    BAYERCROP (1856 rows)
[34/651] ok    BELRISE (276 rows)
[35/651] ok    BIKAJI (898 rows)
[36/651] ok    BSOFT (1856 rows)
[37/651] ok    BLUEDART (1856 rows)
[38/651] ok    BLUEJET (661 rows)
[39/651] ok    BBTC (1856 rows)
[40/651] ok    FIRSTCRY (471 rows)
[41/651] ok    BRIGADE (1856 rows)
[42/651] ok    MAPMYINDIA (1122 rows)
[43/651] ok    CCL (1856 rows)
[44/651] ok    CESC (1856 rows)
[45/651] ok    CIEINDIA (1854 rows)
[46/651] ok    CANFINHOME (1856 rows)
[47/651] ok    CANHLIFE (177 rows)
[48/651] ok    CAPLIPOINT (1855 rows)
[49/651] ok    CGCL (1856 rows)
[50/651] ok    CARBORUNIV (1855 rows)
[51/651] ok    CARTRADE (1206 rows)
[52/651] ok    CASTROLIND (1856 rows)
[53/651] ok    CEATLTD (1856 rows)
[54/651] ok    CEMPRO (1856 rows)
[55/651] ok    CENTRALBK (1856 rows)
[56/651] ok    CDSL (1856 rows)
[57/651] ok    CHALET (1829 rows)
[58/651] ok    CHAMBLFERT (1856 rows)
[59/651] ok    CHENNPETRO (1856 rows)
[60/651] ok    CHOICEIN (1047 rows)
[61/651] ok    CHOLAHLDNG (1856 rows)
[62/651] ok    CUB (1856 rows)
[63/651] ok    CLEAN (1228 rows)
[64/651] ok    COHANCE (1566 rows)
[65/651] ok    CAMS (1424 rows)
[66/651] ok    CONCORDBIO (711 rows)
[67/651] ok    CRAFTSMAN (1303 rows)
[68/651] ok    CREDITACC (1856 rows)
[69/651] ok    CROMPTON (1856 rows)
[70/651] ok    CYIENT (1856 rows)
[71/651] ok    DCMSHRIRAM (1855 rows)
[72/651] ok    DOMS (627 rows)
[73/651] ok    DATAPATTNS (1120 rows)
[74/651] ok    DEEPAKFERT (1856 rows)
[75/651] ok    DEEPAKNTR (1855 rows)
[76/651] ok    DELHIVERY (1019 rows)
[77/651] ok    DEVYANI (1209 rows)
[78/651] ok    LALPATHLAB (1856 rows)
[79/651] ok    EIDPARRY (1855 rows)
[80/651] ok    EIHOTEL (1856 rows)
[81/651] ok    ELECON (1856 rows)
[82/651] ok    ELGIEQUIP (1856 rows)
[83/651] ok    EMAMILTD (1856 rows)
[84/651] ok    EMCURE (493 rows)
[85/651] ok    EMMVEE (157 rows)
[86/651] ok    ENGINERSIN (1856 rows)
[87/651] ok    ERIS (1854 rows)
[88/651] ok    FACT (1856 rows)
[89/651] ok    FINCABLES (1856 rows)
[90/651] ok    FSL (1856 rows)
[91/651] ok    FIVESTAR (895 rows)
[93/651] ok    GABRIEL (1856 rows)
[94/651] ok    GALLANTT (1855 rows)
[95/651] ok    GRSE (1856 rows)
[96/651] ok    GILLETTE (1856 rows)
[97/651] ok    GLAND (1389 rows)
[98/651] ok    GODIGIT (526 rows)
[99/651] ok    GPIL (1856 rows)
[100/651] ok    GRANULES (1855 rows)
[101/651] ok    GRAPHITE (1856 rows)
[102/651] ok    GRAVITA (1856 rows)
[103/651] ok    GESHIP (1856 rows)
[104/651] ok    GMDCLTD (1856 rows)
[105/651] ok    HEG (1856 rows)
[106/651] ok    HBLENGINE (1856 rows)
[107/651] ok    HFCL (1856 rows)
[108/651] ok    HSCL (1856 rows)
[109/651] ok    HINDCOPPER (1856 rows)
[110/651] ok    HOMEFIRST (1339 rows)
[111/651] ok    HONASA (656 rows)
[112/651] ok    IDBI (1856 rows)
[113/651] ok    IFCI (1856 rows)
[114/651] ok    IIFL (1856 rows)
[115/651] ok    IRB (1856 rows)
[116/651] ok    IRCON (1856 rows)
[117/651] ok    ITI (1856 rows)
[118/651] ok    INDGN (534 rows)
[119/651] ok    INDIACEM (1856 rows)
[120/651] ok    INDIAMART (1733 rows)
[121/651] ok    IEX (1856 rows)
[122/651] ok    IOB (1856 rows)
[123/651] ok    IGL (1856 rows)
[124/651] ok    INOXWIND (1856 rows)
[125/651] ok    INTELLECT (1856 rows)
[126/651] ok    IGIL (376 rows)
[127/651] ok    IKS (382 rows)
[128/651] ok    JBCHEPHARM (1856 rows)
[129/651] ok    JBMA (1856 rows)
[130/651] ok    JKTYRE (1856 rows)
[131/651] ok    JMFINANCIL (1856 rows)
[132/651] ok    JSWCEMENT (220 rows)
[133/651] ok    JSWDULUX (1856 rows)
[134/651] ok    JAINREC (186 rows)
[135/651] ok    JPPOWER (1856 rows)
[136/651] ok    J&KBANK (1856 rows)
[137/651] ok    JINDALSAW (1856 rows)
[138/651] ok    JUBLINGREA (1309 rows)
[139/651] ok    JUBLPHARMA (1855 rows)
[140/651] ok    JWL (1856 rows)
[141/651] ok    JYOTICNC (610 rows)
[142/651] ok    KAJARIACER (1856 rows)
[143/651] ok    KPIL (1855 rows)
[144/651] ok    KARURVYSYA (1856 rows)
[145/651] ok    KAYNES (895 rows)
[146/651] ok    KEC (1856 rows)
[147/651] ok    KFINTECH (868 rows)
[148/651] ok    KIRLOSENG (1855 rows)
[149/651] ok    KIMS (1243 rows)
[150/651] ok    LTFOODS (1856 rows)
[151/651] ok    LATENTVIEW (1143 rows)
[152/651] ok    THELEELA (272 rows)
[153/651] ok    LEMONTREE (1856 rows)
