date,symbol,client,side,qty,price,kind
2026-09-25,AGIIL,ARIHANT CAPITAL MARKETS LIMITED,BUY,1061216,269.49,bulk
2026-09-25,AGIIL,ARIHANT CAPITAL MARKETS LIMITED,SELL,1301036,269.14,bulk
2026-09-25,ANTELOPUS,HRTI PRIVATE LIMITED,BUY,461575,1230.59,bulk
2026-09-25,ANTELOPUS,HRTI PRIVATE LIMITED,SELL,461237,1229.86,bulk
2026-09-25,ANTELOPUS,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,289043,1234.46,bulk
2026-09-25,ANTELOPUS,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,292726,1235.03,bulk
2026-09-25,ANTELOPUS,MATHISYS QUANTCAP LLP,BUY,190664,1231.81,bulk
2026-09-25,ANTELOPUS,MATHISYS QUANTCAP LLP,SELL,192959,1229.72,bulk
2026-09-25,ANTELOPUS,MICROCURVES TRADING PRIVATE LIMITED,BUY,317809,1241.22,bulk
2026-09-25,ANTELOPUS,MICROCURVES TRADING PRIVATE LIMITED,SELL,317809,1241.99,bulk
2026-09-25,ANTELOPUS,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,229679,1237.25,bulk
2026-09-25,ANTELOPUS,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,229679,1237.76,bulk
2026-09-25,ANTELOPUS,PLUTUS WEALTH MANAGEMENT LLP,BUY,380730,1235.33,bulk
2026-09-25,ANTELOPUS,PLUTUS WEALTH MANAGEMENT LLP,SELL,380730,1235.88,bulk
2026-09-25,ANTELOPUS,QE SECURITIES LLP,BUY,313956,1230.94,bulk
2026-09-25,ANTELOPUS,QE SECURITIES LLP,SELL,320359,1228.54,bulk
2026-09-25,ARTEMISMED,MICROCURVES TRADING PRIVATE LIMITED,BUY,1004061,365.8,bulk
2026-09-25,ARTEMISMED,MICROCURVES TRADING PRIVATE LIMITED,SELL,1004061,366.15,bulk
2026-09-25,DALBHARAT,DALMIA BHARAT REFRACTORIES LIMITED,BUY,1084000,1700.0,bulk
2026-09-25,DALBHARAT,DALMIA BHARAT REFRACTORIES LIMITED,BUY,1084000,1700.0,block
2026-09-25,DALBHARAT,KESHAV POWER LIMITED,SELL,727000,1700.0,block
2026-09-25,DALBHARAT,RAMA INVESTMENT COMPANY PRIVATE LIMITED,SELL,357000,1700.0,block
2026-09-25,DELTACORP,QE SECURITIES LLP,BUY,1584327,75.45,bulk
2026-09-25,DELTACORP,QE SECURITIES LLP,SELL,1624491,75.27,bulk
2026-09-25,HERANBA,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,206732,193.36,bulk
2026-09-25,HERANBA,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,206732,193.59,bulk
2026-09-25,KSCL,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,316133,808.91,bulk
2026-09-25,KSCL,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,316133,809.65,bulk
2026-09-25,KSCL,IRAGE BROKING SERVICES LLP,BUY,258305,818.18,bulk
2026-09-25,KSCL,IRAGE BROKING SERVICES LLP,SELL,165346,811.41,bulk
2026-09-25,KSCL,MICROCURVES TRADING PRIVATE LIMITED,BUY,382816,808.56,bulk
2026-09-25,KSCL,MICROCURVES TRADING PRIVATE LIMITED,SELL,382816,809.16,bulk
2026-09-25,KSCL,PLUTUS WEALTH MANAGEMENT LLP,BUY,307898,808.86,bulk
2026-09-25,KSCL,PLUTUS WEALTH MANAGEMENT LLP,SELL,307898,809.36,bulk
2026-09-25,MEDICO,SAVITRIBEN MAHENDRAKUMAR SHAH,SELL,437647,27.22,bulk
2026-09-25,MGEL,SPECIFIC WORLDWIDE LLP,SELL,2080600,16.0,bulk
2026-09-25,MOTISONS,ARIHANT CAPITAL MARKETS LIMITED,BUY,11551835,18.55,bulk
2026-09-25,MOTISONS,ARIHANT CAPITAL MARKETS LIMITED,SELL,14550924,18.65,bulk
2026-09-25,MOTISONS,HRTI PRIVATE LIMITED,BUY,6296701,18.25,bulk
2026-09-25,MOTISONS,HRTI PRIVATE LIMITED,SELL,4723438,18.63,bulk
2026-09-25,MOTISONS,QE SECURITIES LLP,BUY,7019486,18.67,bulk
2026-09-25,MOTISONS,QE SECURITIES LLP,SELL,7308362,18.43,bulk
2026-09-25,POLICYBZR,GRAVITON RESEARCH CAPITAL LLP,BUY,3858509,1180.49,bulk
2026-09-25,POLICYBZR,GRAVITON RESEARCH CAPITAL LLP,SELL,3870440,1182.23,bulk
2026-09-25,POLICYBZR,SIXTEENTH STREET ASIAN GEMS FUND,SELL,2567217,1167.13,bulk
2026-09-25,PROTEAN,HRTI PRIVATE LIMITED,BUY,219727,671.97,bulk
2026-09-25,PROTEAN,HRTI PRIVATE LIMITED,SELL,219167,669.04,bulk
2026-09-25,RAYMONDREL,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,408903,721.51,bulk
2026-09-25,RAYMONDREL,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,408903,721.19,bulk
2026-09-25,RAYMONDREL,HRTI PRIVATE LIMITED,BUY,246987,715.91,bulk
2026-09-25,RAYMONDREL,HRTI PRIVATE LIMITED,SELL,341584,718.5,bulk
2026-09-25,RAYMONDREL,PLUTUS WEALTH MANAGEMENT LLP,BUY,352619,720.31,bulk
2026-09-25,RAYMONDREL,PLUTUS WEALTH MANAGEMENT LLP,SELL,352619,720.64,bulk
2026-09-25,RAYMONDREL,QE SECURITIES LLP,BUY,557761,722.13,bulk
