symbol,deliv_med,deliv_recent,deliv_trend_pp,deliv_sessions
20MICRONS,43.93,43.59,-0.68,20
21STCENMGM,92.92,99.29,15.43,20
360ONE,50.75,53.0,2.41,20
3BBLACKBIO,60.01,62.82,4.82,20
3IINFOLTD,61.26,44.75,-16.53,20
3MINDIA,43.38,44.97,2.14,20
3PLAND,86.41,83.21,-6.41,20
5PAISA,52.62,63.86,11.5,20
63MOONS,39.36,13.84,-30.37,20
A2ZINFRA,69.69,59.81,-12.38,20
AAATECH,50.93,42.63,-17.92,20
AADHARHFC,53.79,46.79,-7.03,20
AAKASH,64.72,66.31,3.91,20
AARNAV,52.22,43.91,-13.04,20
AARON,56.39,55.38,-5.52,20
AARTIDRUGS,48.53,53.7,6.46,20
AARTIIND,39.92,34.51,-5.95,20
AARTIPHARM,46.62,47.97,3.1,20
AARTISURF,65.15,67.28,4.26,20
AARVI,42.02,41.79,-0.23,20
AASTHA,22.13,30.21,12.66,15
AAVAS,48.06,55.22,7.72,20
ABB,34.52,29.58,-6.9,20
ABBOTINDIA,56.0,48.84,-7.32,20
ABCAPITAL,45.39,32.84,-16.53,20
ABCOTS,48.08,49.81,1.76,20
ABDL,45.94,46.8,3.17,20
ABFRL,51.8,50.06,-2.24,20
ABGSEC,99.64,74.55,-25.24,17
ABINFRA,40.51,53.73,15.98,20
ABLBL,56.17,55.72,-0.9,20
ABMINTLLTD,78.72,56.94,-22.53,19
ABMKNO,87.41,92.89,7.08,20
ABREL,42.88,33.02,-11.52,20
ABSL10BANK,98.0,98.99,1.48,20
ABSLAMC,52.73,60.89,9.73,20
ABSLBANETF,77.19,57.84,-20.75,20
ABSLLIQUID,78.82,59.21,-33.24,20
ABSLMSCIN,96.68,99.52,7.54,20
ABSLNN50ET,73.75,74.21,0.92,20
ABSLPSE,76.98,77.22,3.92,20
ACC,42.06,44.03,2.25,20
ACCELYA,64.16,64.16,1.32,20
ACE,45.58,51.0,7.72,20
ACEINTEG,86.1,92.49,6.53,20
ACI,53.96,56.44,3.69,20
ACL,69.32,66.33,-3.18,20
ACMESOLAR,44.2,40.8,-3.6,20
ACSTECH,67.3,67.68,1.46,20
ACUTAAS,49.28,51.08,5.66,20
ADANIENSOL,33.41,37.71,4.5,20
ADANIENT,35.38,33.2,-5.29,20
ADANIGREEN,31.52,32.73,5.29,20
ADANIPORTS,50.2,63.15,13.53,20
ADANIPOWER,36.84,40.06,3.95,20
ADFFOODS,46.87,42.65,-4.31,20
ADL,80.45,75.15,-5.32,20
ADOR,49.53,59.68,11.22,20
ADROITINFO,83.12,85.37,2.25,20
ADSL,43.88,52.21,12.73,20
ADVAIT,52.2,52.32,2.55,20
ADVANCE,56.44,48.03,-8.41,20
ADVANIHOTR,65.87,66.33,0.92,20
ADVENTHTL,53.58,54.8,3.66,20
ADVENZYMES,57.57,57.57,-0.84,20
AEGISLOG,31.35,36.16,4.99,20
AEGISVOPAK,36.98,42.12,7.11,20
AEPL,79.38,83.67,7.37,20
AEQUS,41.17,41.63,2.22,20
AEROENTER,46.59,41.77,-5.11,20
AEROFLEX,40.44,42.99,2.99,20
AERONEU,15.71,15.48,-0.46,20
AEROPLANE,62.7,57.81,-5.24,15
AETHER,45.3,39.69,-5.78,20
AFCONS,50.94,57.93,8.0,20
AFFLE,45.03,46.9,4.06,20
AFIL,66.53,68.27,1.74,15
AFSL,67.12,70.11,3.33,20
AGARIND,42.95,38.56,-6.98,20
AGARWALEYE,59.38,47.27,-13.06,20
AGI,52.39,51.03,-1.45,20
AGIIL,25.95,28.76,5.61,20
AGL,70.09,74.87,7.78,17
AGROPHOS,74.75,73.68,-2.15,20
AHCL,48.61,42.74,-5.87,20
AHLADA,72.59,72.3,-1.93,20
AHLEAST,72.27,62.49,-10.24,20
AHLUCONT,51.81,53.95,4.25,20
AIAENG,56.73,56.82,0.18,20
AIIL,38.59,40.85,2.93,20
AIRAN,73.77,77.29,4.4,20
AIROLAM,78.3,74.25,-5.56,20
AJANTPHARM,46.17,46.02,-0.29,20
AJAXENGG,51.84,62.49,10.71,20
AJMERA,46.22,54.4,10.96,20
AJOONI,78.21,85.65,8.6,20
AKASH,76.71,62.97,-19.59,20
AKCAPIT,80.42,70.68,-15.81,20
AKG,83.27,79.34,-4.54,20
AKI,70.16,61.26,-12.41,20
AKSHAR,74.8,69.39,-9.27,20
AKUMS,51.99,51.0,-1.51,20
ALANKIT,75.73,84.6,9.53,20
ALBERTDAVD,68.91,68.22,-1.37,20
ALEMBICLTD,59.01,57.71,-1.3,20
ALGOQUANT,23.67,29.91,8.22,20
ALICON,62.66,63.33,2.91,20
ALIVUS,51.28,26.54,-26.42,20
ALKEM,54.77,58.91,4.14,20
ALKYLAMINE,40.89,43.68,3.52,20
ALLCARGO,53.19,63.52,10.54,20
ALLDIGI,67.09,58.5,-10.77,20
ALLTIME,63.39,65.45,3.25,20
ALMONDZ,75.41,65.68,-19.02,20
ALOKINDS,55.66,58.55,5.05,20
ALPA,63.99,63.87,-0.24,20
ALPHA,58.17,64.06,8.68,20
ALPHAETF,68.47,66.5,-2.95,20
ALPHAGEO,68.53,61.17,-8.87,20
ALPL30IETF,67.25,65.15,-5.91,20
AMAGI,44.37,51.4,12.1,20
AMBALALSA,69.34,63.62,-6.03,20
AMBER,30.9,30.08,-0.82,20
AMBICAAGAR,84.89,84.53,-0.72,20
AMBIKCO,56.79,59.13,2.34,20
AMBUJACEM,41.65,52.85,15.55,20
AMDIND,58.11,73.55,21.77,20
AMIRCHAND,52.47,52.47,-23.37,5
AMJLAND,75.64,79.85,4.63,20
AMNPLST,48.67,47.53,-2.29,20
AMRUTANJAN,62.9,60.12,-2.9,20
ANANDRATHI,52.94,55.51,3.76,20
ANANTRAJ,39.03,41.81,2.88,20
ANDHRAPAP,71.75,71.75,1.29,20
ANDHRSUGAR,48.17,53.41,6.85,20
ANGELONE,35.81,31.66,-7.21,20
ANIKINDS,71.12,71.12,-0.84,9
ANMOL,78.01,80.13,4.64,20
ANTELOPUS,48.8,38.61,-12.73,20
ANTGRAPHIC,80.47,80.41,-0.13,20
ANTHEM,59.6,56.76,-7.57,20
ANUHPHR,63.98,65.05,1.25,20
ANUP,48.68,48.77,1.35,20
ANURAS,58.89,66.05,11.48,20
AONEGOLD,49.58,54.59,6.13,20
AONELIQUID,74.9,72.09,-5.62,20
AONENIFTY,80.57,79.76,-1.0,20
AONESILVER,65.94,67.85,3.86,20
AONETMMQ50,83.09,67.4,-19.45,20
AONETOTAL,66.16,73.0,8.61,20
APARINDS,40.92,40.28,-2.07,20
APCL,68.61,68.98,2.71,20
APCOTEXIND,45.12,36.89,-10.49,20
APEX,44.19,49.51,6.93,20
APLAPOLLO,54.25,47.29,-7.44,20
APLLTD,48.63,46.01,-3.53,20
APOLLO,25.1,25.15,0.7,20
