symbol,market_cap_cr,current_price,pe,roce_pct,roe_pct,book_value,sales_growth_ttm,sales_growth_3y,sales_growth_5y,profit_growth_ttm,profit_growth_3y,profit_growth_5y,np_latest_q,np_yoy_q,loss_to_profit,opm_latest_q,opm_yoy_q,np_yoy_streak,opm_yoy_streak,sales_latest_q,sales_yoy_q,sales_yoy_pct,sales_yoy_streak,debt_cr,debt_3y_ago_cr,debt_to_equity,cfo_last_cr,equity_cap_now,equity_cap_3y_ago,reserves_now,reserves_3y_ago,shares_out_cr,promoter_pct,promoter_pct_4q_ago,fii_pct,fii_pct_4q_ago,dii_pct,dii_pct_4q_ago,pledge_pct,fetched_at,source
CUPID,37964.0,282.0,276.0,33.9,27.6,3.35,122.0,,19.0,188.0,,30.0,44.0,15.0,False,39.0,28.0,5.0,5.0,155.0,60.0,158.3,5.0,56.0,0.0,0.12,46.0,134.0,13.0,316.0,118.0,134.0,46.24,45.56,4.17,2.58,0.34,0.35,,2026-08-30T10:05:32,https://www.screener.in/company/CUPID/consolidated/
MTARTECH,21522.0,6997.0,158.0,15.1,12.5,267.0,53.0,15.0,29.0,130.0,-2.0,16.0,50.0,11.0,False,24.0,18.0,3.0,3.0,361.0,157.0,129.9,3.0,377.0,143.0,0.46,197.0,31.0,31.0,792.0,589.0,3.1,29.35,31.41,24.8,9.21,22.35,24.81,,2026-08-30T10:05:36,https://www.screener.in/company/MTARTECH/consolidated/
CPPLUS,42311.0,3577.0,88.6,28.6,25.4,159.0,52.0,23.0,30.0,215.0,48.0,66.0,142.0,33.0,False,15.0,8.0,3.0,5.0,1402.0,740.0,89.5,5.0,256.0,427.0,0.14,13.0,12.0,2.0,1865.0,310.0,12.0,74.71,77.12,6.35,4.44,13.61,10.06,,2026-08-28T23:03:52,https://www.screener.in/company/CPPLUS/consolidated/
AVALON,14910.0,2232.0,112.0,19.5,16.9,108.0,44.0,19.0,18.0,67.0,29.0,40.0,35.0,14.0,False,12.0,9.0,8.0,1.0,484.0,323.0,49.8,8.0,213.0,342.0,0.3,57.0,13.0,12.0,708.0,525.0,6.5,44.39,44.46,7.81,10.04,24.72,22.84,,2026-08-30T10:05:39,https://www.screener.in/company/AVALON/consolidated/
PARAS,11602.0,1440.0,125.0,17.2,12.4,90.0,37.0,29.0,27.0,46.0,33.0,40.0,21.0,14.0,False,25.0,23.0,4.0,1.0,128.0,93.0,37.6,9.0,27.0,15.0,0.04,25.0,40.0,39.0,685.0,374.0,8.0,53.2,53.2,8.29,5.7,3.04,1.46,,2026-08-30T10:05:42,https://www.screener.in/company/PARAS/consolidated/
TDPOWERSYS,23519.0,753.0,85.5,34.0,24.7,34.3,54.0,29.0,26.0,45.0,36.0,43.0,86.0,50.0,False,19.0,19.0,9.0,0.0,640.0,372.0,72.0,9.0,18.0,0.0,0.02,129.0,31.0,31.0,1041.0,573.0,31.0,26.87,26.87,26.18,23.55,23.88,25.39,,2026-08-30T10:05:45,https://www.screener.in/company/TDPOWERSYS/consolidated/
SANSERA,24082.0,3859.0,64.6,14.1,11.5,495.0,23.0,14.0,18.0,64.0,32.0,26.0,87.0,63.0,False,19.0,17.0,9.0,3.0,1021.0,766.0,33.3,9.0,591.0,804.0,0.19,387.0,12.0,11.0,3075.0,1157.0,6.0,29.21,30.24,21.52,19.58,31.04,36.99,,2026-08-30T10:05:48,https://www.screener.in/company/SANSERA/consolidated/
RRKABEL,32859.0,2905.0,53.7,28.1,21.3,228.0,38.0,20.0,29.0,81.0,39.0,31.0,205.0,90.0,False,9.0,7.0,6.0,1.0,3168.0,2059.0,53.9,9.0,337.0,996.0,0.13,295.0,57.0,48.0,2518.0,957.0,11.4,61.38,61.76,10.68,8.18,11.87,13.87,,2026-08-30T10:05:52,https://www.screener.in/company/RRKABEL/consolidated/
GRWRHITECH,16784.0,7224.0,43.3,18.0,13.4,1143.0,6.0,14.0,16.0,19.0,27.0,22.0,133.0,83.0,False,27.0,22.0,2.0,2.0,633.0,495.0,27.9,2.0,16.0,141.0,0.01,275.0,23.0,23.0,2633.0,1833.0,2.3,60.73,60.73,4.22,3.58,6.35,4.96,,2026-08-30T10:05:55,https://www.screener.in/company/GRWRHITECH/consolidated/
BALAMINES,7210.0,2224.0,35.3,11.0,8.74,610.0,11.0,-15.0,2.0,34.0,-20.0,-7.0,78.0,37.0,False,25.0,15.0,2.0,4.0,456.0,358.0,27.4,3.0,133.0,58.0,0.07,184.0,6.0,6.0,1970.0,1548.0,3.0,54.56,54.59,3.17,4.53,1.58,1.52,,2026-08-24T14:01:20,https://www.screener.in/company/BALAMINES/consolidated/
INOXINDIA,19298.0,2126.0,75.0,33.5,26.1,123.0,20.0,18.0,22.0,12.0,19.0,22.0,58.0,61.0,False,20.0,22.0,0.0,0.0,371.0,340.0,9.1,8.0,81.0,9.0,0.07,117.0,18.0,18.0,1099.0,531.0,9.0,74.86,75.0,6.86,7.12,7.67,6.7,,2026-08-30T10:05:58,https://www.screener.in/company/INOXINDIA/consolidated/
SYRMA,28429.0,1474.0,76.5,16.8,14.0,148.0,53.0,33.0,40.0,84.0,39.0,36.0,106.0,50.0,False,10.0,9.0,8.0,1.0,1589.0,944.0,68.3,4.0,400.0,375.0,0.14,290.0,193.0,177.0,2670.0,1364.0,19.3,42.28,42.98,7.51,7.02,15.9,16.38,,2026-08-30T10:06:01,https://www.screener.in/company/SYRMA/consolidated/
