symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
METROBRAND,Metro Brands Limited,,nse_gap,24874.0,2.76
KIOCL,KIOCL Limited,,nse_gap,23587.0,3.5
HATSUN,Hatsun Agro Product Limited,,nse_gap,21934.0,5.49
LMW,LMW Limited,,nse_gap,20853.0,8.88
ASTRAZEN,AstraZeneca Pharma India Limited,,nse_gap,18950.0,5.36
BASF,BASF India Limited,,nse_gap,17057.0,8.11
PSB,Punjab & Sind Bank,,nse_gap,16866.0,2.33
FINEORG,Fine Organic Industries Limited,,nse_gap,15711.0,13.32
INGERRAND,Ingersoll Rand (India) Limited,,nse_gap,14713.0,9.1
VENTIVE,Ventive Hospitality Limited,,nse_gap,13851.0,1.18
VINATIORGA,Vinati Organics Limited,,nse_gap,13781.0,4.26
JSWHL,JSW Holdings Limited,,nse_gap,12531.0,3.5
SHREEJISPG,Shreeji Shipping Global Limited,,nse_gap,10646.0,49.98
PGHL,Procter & Gamble Health Limited,,nse_gap,9639.0,6.25
ESABINDIA,Esab India Limited,,nse_gap,9507.0,2.5
GENUSPOWER,Genus Power Infrastructures Limited,,nse_gap,9330.0,52.68
VESUVIUS,Vesuvius India Limited,,nse_gap,8772.0,2.92
GRINFRA,G R Infraprojects Limited,,nse_gap,8453.0,1.66
GALAXYSURF,Galaxy Surfactants Limited,,nse_gap,8208.0,4.87
SJS,S.J.S. Enterprises Limited,,nse_gap,8111.0,38.33
TTKPRESTIG,TTK Prestige Limited,,nse_gap,8104.0,3.84
MAHLIFE,Mahindra Lifespace Developers Limited,,nse_gap,8067.0,3.64
GARFIBRES,Garware Technical Fibres Limited,,nse_gap,7967.0,3.94
PRECWIRE,Precision Wires India Limited,,nse_gap,7895.0,29.37
KINGFA,Kingfa Science & Technology (India) Limited,,nse_gap,7878.0,7.28
HNDFDS,Hindustan Foods Limited,,nse_gap,7813.0,5.42
UNIMECH,Unimech Aerospace and Manufacturing Limited,,nse_gap,7712.0,24.67
SANOFI,Sanofi India Limited,,nse_gap,7552.0,5.81
TIIL,Technocraft Industries (India) Limited,,nse_gap,7463.0,12.53
MBAPL,Madhya Bharat Agro Products Limited,,nse_gap,7427.0,10.38
SUPRAJIT,Suprajit Engineering Limited,,nse_gap,6933.0,4.67
TCI,Transport Corporation of India Limited,,nse_gap,6911.0,1.42
GANESHHOU,GANESH HOUSING LIMITED,,nse_gap,6900.0,1.74
DODLA,Dodla Dairy Limited,,nse_gap,6874.0,2.29
AJAXENGG,Ajax Engineering Limited,,nse_gap,6533.0,2.94
GREENLAM,Greenlam Industries Limited,,nse_gap,6455.0,2.07
PAISALO,Paisalo Digital Limited,,nse_gap,6382.0,47.45
SUNFLAG,Sunflag Iron And Steel Company Limited,,nse_gap,6380.0,5.61
