logged_at,symbol,kind,dimension,weight,score,live
2026-07-20,GRANULES,RE-ENTRY WINDOW,catalyst,10.0,0.1,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,earnings_inflection,20.0,0.849,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.68,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,rs_and_stage,20.0,0.823,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,smart_money,12.0,0.768,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-20,GRANULES,RE-ENTRY WINDOW,valuation_sanity,5.0,0.45,True
2026-07-20,KIRLPNU,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-20,KIRLPNU,BUY CANDIDATE,earnings_inflection,20.0,0.68,True
2026-07-20,KIRLPNU,BUY CANDIDATE,financial_strength_trend,10.0,0.76,True
2026-07-20,KIRLPNU,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-20,KIRLPNU,BUY CANDIDATE,rs_and_stage,20.0,0.81,True
2026-07-20,KIRLPNU,BUY CANDIDATE,smart_money,12.0,0.628,True
2026-07-20,KIRLPNU,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-20,KIRLPNU,BUY CANDIDATE,valuation_sanity,5.0,0.55,True
2026-07-20,THERMAX,BUY CANDIDATE,catalyst,10.0,0.1,True
2026-07-20,THERMAX,BUY CANDIDATE,earnings_inflection,20.0,0.692,True
2026-07-20,THERMAX,BUY CANDIDATE,financial_strength_trend,10.0,0.508,True
2026-07-20,THERMAX,BUY CANDIDATE,governance,8.0,0.85,True
2026-07-20,THERMAX,BUY CANDIDATE,rs_and_stage,20.0,0.814,True
2026-07-20,THERMAX,BUY CANDIDATE,smart_money,12.0,0.382,True
2026-07-20,THERMAX,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-20,THERMAX,BUY CANDIDATE,valuation_sanity,5.0,0.05,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,catalyst,10.0,0.0,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,earnings_inflection,20.0,0.549,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.604,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,governance,8.0,0.55,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,rs_and_stage,20.0,0.777,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,smart_money,12.0,1.0,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-22,AJANTPHARM,RE-ENTRY WINDOW,valuation_sanity,5.0,0.7,True
2026-07-22,APOLLO,BUY CANDIDATE,catalyst,10.0,0.1,True
2026-07-22,APOLLO,BUY CANDIDATE,earnings_inflection,20.0,1.0,True
2026-07-22,APOLLO,BUY CANDIDATE,financial_strength_trend,10.0,0.351,True
2026-07-22,APOLLO,BUY CANDIDATE,governance,8.0,0.05,True
2026-07-22,APOLLO,BUY CANDIDATE,rs_and_stage,20.0,0.988,True
2026-07-22,APOLLO,BUY CANDIDATE,smart_money,12.0,0.097,True
2026-07-22,APOLLO,BUY CANDIDATE,theme_tailwind,15.0,0.3,True
2026-07-22,APOLLO,BUY CANDIDATE,valuation_sanity,5.0,0.05,True
2026-07-22,CUPID,RE-ENTRY WINDOW,catalyst,10.0,0.1,True
2026-07-22,CUPID,RE-ENTRY WINDOW,earnings_inflection,20.0,0.725,True
2026-07-22,CUPID,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.668,True
2026-07-22,CUPID,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-22,CUPID,RE-ENTRY WINDOW,rs_and_stage,20.0,0.849,True
2026-07-22,CUPID,RE-ENTRY WINDOW,smart_money,12.0,0.763,True
2026-07-22,CUPID,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-22,CUPID,RE-ENTRY WINDOW,valuation_sanity,5.0,0.5,True
2026-07-22,IIFLCAPS,BUY CANDIDATE,catalyst,10.0,0.0,True
2026-07-22,IIFLCAPS,BUY CANDIDATE,earnings_inflection,20.0,0.292,True
2026-07-22,IIFLCAPS,BUY CANDIDATE,financial_strength_trend,10.0,0.5,True
2026-07-22,IIFLCAPS,BUY CANDIDATE,governance,8.0,0.85,True
