logged_at,symbol,verdict,conviction,size
2026-07-08 10:46,SYRMA,BUY,MEDIUM,HALF PLAN
2026-07-08 10:47,SHILPAMED,BUY,MEDIUM,HALF PLAN
2026-07-08 10:48,LAURUSLABS,BUY,MEDIUM,HALF PLAN
2026-07-09 16:41,CHENNPETRO,BUY,HIGH,FULL PLAN
2026-07-09 16:42,IPCALAB,BUY,HIGH,FULL PLAN
2026-07-09 16:43,ACMESOLAR,BUY,MEDIUM,HALF PLAN
2026-07-20 15:26,IPCALAB,BUY,MEDIUM,HALF PLAN
2026-07-20 15:27,JSWENERGY,WAIT,LOW,NONE
2026-07-21 01:02,DCBBANK,WAIT,MEDIUM,NONE
2026-07-25 15:55,STLTECH,SKIP,HIGH,NONE
2026-07-25 15:56,RADICO,BUY,MEDIUM,HALF PLAN
2026-07-25 21:31,JAMNAAUTO,BUY,MEDIUM,FULL PLAN
2026-07-25 21:32,USHAMART,WAIT,MEDIUM,NONE
2026-07-27 21:31,ACUTAAS,BUY,MEDIUM,HALF PLAN
2026-07-27 21:32,DCBBANK,BUY,MEDIUM,FULL PLAN
2026-07-27 21:34,MARKSANS,BUY,MEDIUM,HALF PLAN
2026-07-27 21:37,LUPIN,BUY,MEDIUM,HALF PLAN
2026-07-28 21:31,ASTRAMICRO,BUY,MEDIUM,HALF PLAN
2026-07-28 21:32,HSCL,BUY,MEDIUM,HALF PLAN
2026-07-28 21:33,GRINDWELL,BUY,MEDIUM,HALF PLAN
2026-07-28 21:34,TMB,BUY,MEDIUM,FULL PLAN
2026-07-29 21:31,THANGAMAYL,SKIP,LOW,NONE
2026-07-29 21:33,BELRISE,WAIT,LOW,NONE
2026-07-29 21:34,GOKULAGRO,BUY,MEDIUM,FULL PLAN
2026-07-29 21:35,AVALON,WAIT,MEDIUM,NONE
