date,symbol,action,lot,shares,price,pnl,reason
2026-07-09,SYRMA,BUY,entry,16,1410.4,,[SYRMA@2026-07-08 10:46] analyst BUY/MEDIUM/HALF PLAN
2026-07-09,SHILPAMED,BUY,entry,49,599.0,,[SHILPAMED@2026-07-08 10:47] analyst BUY/MEDIUM/HALF PLAN
2026-07-09,LAURUSLABS,BUY,entry,31,1468.1,,[LAURUSLABS@2026-07-08 10:48] analyst BUY/MEDIUM/HALF PLAN
2026-07-10,CHENNPETRO,BUY,entry,67,1130.7,,[CHENNPETRO@2026-07-09 16:41] analyst BUY/HIGH/FULL PLAN
2026-07-10,IPCALAB,BUY,entry,45,1788.0,,[IPCALAB@2026-07-09 16:42] analyst BUY/HIGH/FULL PLAN
2026-07-10,ACMESOLAR,BUY,entry,80,370.0,,[ACMESOLAR@2026-07-09 16:43] analyst BUY/MEDIUM/HALF PLAN
2026-07-20,IPCALAB,SKIP,entry,0,,,[IPCALAB@2026-07-20 15:26] already open in paper book
2026-07-27,RADICO,BUY,entry,21,4120.0,,[RADICO@2026-07-25 15:56] analyst BUY/MEDIUM/HALF PLAN
2026-07-27,JAMNAAUTO,BUY,entry,856,133.73,,[JAMNAAUTO@2026-07-25 21:31] analyst BUY/MEDIUM/FULL PLAN
2026-07-27,LAURUSLABS,SELL,partial,4,1714.72,986.5,partial at 2.5R
2026-07-28,ACUTAAS,BUY,entry,17,3369.7,,[ACUTAAS@2026-07-27 21:31] analyst BUY/MEDIUM/HALF PLAN
2026-07-28,DCBBANK,BUY,entry,685,191.25,,[DCBBANK@2026-07-27 21:32] analyst BUY/MEDIUM/FULL PLAN
2026-07-28,MARKSANS,BUY,entry,207,263.7,,[MARKSANS@2026-07-27 21:34] analyst BUY/MEDIUM/HALF PLAN
2026-07-28,LUPIN,BUY,entry,43,2409.2,,[LUPIN@2026-07-27 21:37] analyst BUY/MEDIUM/HALF PLAN
2026-07-29,ASTRAMICRO,BUY,entry,35,1710.0,,[ASTRAMICRO@2026-07-28 21:31] analyst BUY/MEDIUM/HALF PLAN
2026-07-29,HSCL,BUY,entry,71,753.0,,[HSCL@2026-07-28 21:32] analyst BUY/MEDIUM/HALF PLAN
2026-07-29,GRINDWELL,SKIP,entry,0,,,[GRINDWELL@2026-07-28 21:33] alert had no mechanical stop (risk engine skipped the plan)
2026-07-29,TMB,BUY,entry,146,879.7,,[TMB@2026-07-28 21:34] analyst BUY/MEDIUM/FULL PLAN
