logged_at,run_date,symbol,rank,score,coverage_pct,vetoed,veto_reasons,archetypes,close,atr,stop_suggested,tag,rs_pctile,median_turnover_cr,market_cap_cr,risk_flags
2026-07-25 23:39,2026-07-25,AMBIKCO,13,64.7,75.0,False,,,1708.2,,,,,1.516,978.0,
2026-07-25 23:39,2026-07-25,KALAMANDIR,14,64.4,100.0,False,,Hyper-growth,88.55999755859375,3.27,80.38,BROKEN,8.6,8.85,1359.0,
2026-07-25 23:39,2026-07-25,SINDHUTRAD,15,64.3,100.0,False,,Turnaround (margin-confirmed) + Deleveraging,24.82999992370605,1.25,21.7,WATCH,80.5,2.104,3770.0,
2026-07-25 23:39,2026-07-25,COMSYN,16,63.2,100.0,False,,Momentum,180.02000427246094,15.4,,CONFIRMED,93.7,4.265,720.0,
2026-07-25 23:39,2026-07-25,GATEWAY,17,63.1,100.0,False,,Turnaround (margin-confirmed) + Hyper-growth,57.09000015258789,1.69,52.87,WATCH,63.5,4.431,2820.0,
2026-07-25 23:39,2026-07-25,GANESHBE,18,62.8,100.0,False,,Turnaround (unconfirmed) + Momentum,113.61000061035156,5.6,99.61,CONFIRMED,96.0,2.232,802.0,
2026-07-25 23:39,2026-07-25,UYFINCORP,19,62.0,100.0,False,,Hyper-growth,19.25,0.93,16.93,WATCH,91.4,0.551,353.0,
2026-07-25 23:39,2026-07-25,MUNJALAU,20,61.7,100.0,False,,,100.95999908447266,5.51,87.18,WATCH,95.4,3.525,998.0,
2026-07-25 23:39,2026-07-25,DJML,1,78.6,100.0,False,,Hyper-growth + Momentum,109.38999938964844,6.99,91.91,CONFIRMED,92.0,4.866,411.0,
2026-07-25 23:39,2026-07-25,PREMIERPOL,2,77.5,100.0,False,,Deleveraging,78.6500015258789,6.48,nan,EXTENDED,98.9,2.159,831.0,
2026-07-25 23:39,2026-07-25,ESAFSFB,3,75.6,100.0,False,,Turnaround (margin-confirmed) + Momentum,35.54999923706055,1.71,31.27,CONFIRMED,90.8,4.866,1996.0,
2026-07-25 23:39,2026-07-25,ATALREAL,4,73.8,100.0,False,,Hyper-growth + Momentum,30.989999771118164,1.33,27.66,CONFIRMED,94.3,23.146,382.0,promoter sold 2.7 pts in 4 quarters
2026-07-25 23:39,2026-07-25,FILATEX,5,71.1,100.0,False,,Deleveraging,72.0,4.7,60.25,EXTENDED,97.1,22.715,3278.0,
2026-07-25 23:39,2026-07-25,SUYOG,6,70.9,100.0,False,,Turnaround (margin-confirmed),841.0999755859375,31.91,761.32,WATCH,94.8,3.126,996.0,
2026-07-25 23:39,2026-07-25,SOUTHWEST,7,70.1,100.0,False,,Hyper-growth,236.19000244140625,11.44,207.59,WATCH,96.6,6.336,763.0,promoter sold 2.9 pts in 4 quarters
2026-07-25 23:39,2026-07-25,SHRIRAMPPS,8,68.4,100.0,False,,Hyper-growth,84.08000183105469,3.29,75.86,WATCH,67.8,4.71,1453.0,
2026-07-25 23:39,2026-07-25,ANDHRSUGAR,9,67.6,100.0,False,,Deleveraging,85.41999816894531,3.63,76.34,WATCH,83.9,2.42,1170.0,
2026-07-25 23:39,2026-07-25,SCPL,10,66.6,75.0,False,,Deleveraging,570.85,nan,nan,,nan,1.497,599.0,
2026-07-25 23:39,2026-07-25,VISAKAIND,11,65.3,100.0,False,,,80.23999786376953,3.96,70.34,WATCH,82.8,1.049,690.0,
2026-07-25 23:39,2026-07-25,TPLPLASTEH,12,64.8,100.0,False,,Deleveraging,76.80000305175781,4.37,65.88,WATCH,76.4,1.096,600.0,
2026-07-26 07:35,2026-07-26,UJJIVANSFB,1,80.1,100.0,False,,,70.72000122070312,3.1,62.97,EXTENDED,92.2,96.315,13761.0,"no promoter (0.0%) — widely held, institutions 50%: professionally managed rather than promoter-driven, so there is no controlling owner whose interests you are riding along with"
2026-07-26 07:35,2026-07-26,PREMIERPOL,2,77.6,100.0,False,,Deleveraging,79.30000305175781,6.24,63.7,EXTENDED,98.7,2.159,831.0,
2026-07-26 07:35,2026-07-26,ESAFSFB,3,74.9,100.0,False,,Turnaround (margin-confirmed),38.68999862670898,1.88,33.99,EXTENDED,90.8,4.866,1996.0,
2026-07-26 07:35,2026-07-26,ATALREAL,4,74.2,100.0,False,,Hyper-growth + Momentum,31.440000534057617,1.38,27.99,CONFIRMED,94.1,23.146,387.0,promoter sold 2.7 pts in 4 quarters
2026-07-26 07:35,2026-07-26,NSLNISP,5,73.3,100.0,False,,Turnaround (margin-confirmed) + Hyper-growth,41.40999984741211,0.92,39.11,WATCH,73.9,13.216,12136.0,
2026-07-26 07:35,2026-07-26,IDFCFIRSTB,6,71.6,100.0,False,,,80.79000091552734,1.74,76.44,WATCH,74.5,130.309,69616.0,"no promoter (0.0%) — widely held, institutions 60%: professionally managed rather than promoter-driven, so there is no controlling owner whose interests you are riding along with"
2026-07-26 07:35,2026-07-26,FILATEX,7,71.1,100.0,False,,Deleveraging,73.83000183105469,4.82,61.78,EXTENDED,97.4,22.715,3278.0,
2026-07-26 07:35,2026-07-26,SHRIRAMPPS,8,68.8,100.0,False,,Hyper-growth,85.0199966430664,3.19,77.04,WATCH,73.2,4.71,1451.0,
2026-07-26 07:35,2026-07-26,ANDHRSUGAR,9,67.9,100.0,False,,Deleveraging,86.33000183105469,3.26,78.18,WATCH,85.0,2.42,1170.0,
2026-07-26 07:35,2026-07-26,CCAVENUE,10,67.5,100.0,False,,Hyper-growth,16.34000015258789,0.67,14.67,WATCH,76.8,22.872,5700.0,
2026-07-26 07:35,2026-07-26,VISAKAIND,11,65.4,100.0,False,,,79.8499984741211,3.65,70.72,WATCH,83.0,1.049,690.0,
2026-07-26 07:35,2026-07-26,SUZLON,12,65.2,100.0,False,,Hyper-growth + Deleveraging,52.27999877929688,1.13,49.45,WATCH,68.0,311.158,71276.0,"no promoter (11.7%) — widely held, institutions 35%: professionally managed rather than promoter-driven, so there is no controlling owner whose interests you are riding along with"
2026-07-26 07:35,2026-07-26,TPLPLASTEH,13,65.2,100.0,False,,Deleveraging,76.9000015258789,3.86,67.25,WATCH,81.7,1.096,600.0,
2026-07-26 07:35,2026-07-26,YESBANK,14,64.8,100.0,False,,,22.950000762939453,0.47,21.78,WATCH,76.8,179.112,72033.0,
2026-07-26 07:35,2026-07-26,KALAMANDIR,15,64.5,100.0,False,,Hyper-growth,88.43000030517578,3.29,80.21,BROKEN,7.8,8.85,1356.0,
2026-07-26 07:35,2026-07-26,SINDHUTRAD,16,64.2,100.0,False,,Turnaround (margin-confirmed) + Deleveraging,24.450000762939453,1.23,21.38,WATCH,79.7,2.104,3770.0,
2026-07-26 07:35,2026-07-26,GATEWAY,17,63.3,100.0,False,,Turnaround (margin-confirmed) + Hyper-growth,56.380001068115234,1.6,52.38,WATCH,65.4,4.431,2817.0,
2026-07-26 07:35,2026-07-26,LLOYDSENT,18,62.2,100.0,False,,,78.04000091552734,3.71,68.77,WATCH,86.9,28.954,11894.0,
2026-07-26 07:35,2026-07-26,UYFINCORP,19,61.6,100.0,False,,Hyper-growth,18.56999969482422,0.93,16.24,WATCH,89.5,0.551,353.0,
2026-07-26 07:35,2026-07-26,MUNJALAU,20,61.4,100.0,False,,,99.7699966430664,4.48,88.57,WATCH,92.8,3.525,998.0,
