logged_at,symbol,kind,old_tag,new_tag,close,atr,stop_suggested,conviction_score,coverage_pct,vetoed,veto_reasons,rs_pctile,archetypes
2026-07-09 12:34,ACE,WATCH CLOSELY,WATCH,ANTICIPATION,980.4000244140624,,,,,,,,
2026-07-09 12:34,BALRAMCHIN,BUY CANDIDATE,WATCH,CONFIRMED,568.0,15.26,529.84,46.3,100.0,False,,67.76315789473685,(untagged — theme data Phase C)
2026-07-09 12:34,CHENNPETRO,BUY CANDIDATE,WATCH,CONFIRMED,1133.199951171875,33.5,1049.45,75.1,100.0,False,,88.65131578947368,Turnaround
2026-07-09 12:34,FACT,WATCH CLOSELY,WATCH,ANTICIPATION,852.0,,,,,,,,
2026-07-09 12:34,HEG,WATCH CLOSELY,WATCH,ANTICIPATION,524.7999877929688,,,,,,,,
2026-07-09 12:34,HFCL,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,212.42999267578125,10.36,,54.9,100.0,False,,99.50657894736842,Turnaround
2026-07-09 12:34,IKS,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1884.5,57.14,1741.66,64.3,100.0,False,,61.43092105263158,(untagged — theme data Phase C)
2026-07-09 12:34,RITES,WATCH CLOSELY,WATCH,ANTICIPATION,222.75,,,,,,,22.45065789473684,
2026-07-09 12:34,ABCAPITAL,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,399.25,10.28,373.55,60.7,100.0,False,,79.44078947368422,(untagged — theme data Phase C)
2026-07-09 12:34,BERGEPAINT,WATCH CLOSELY,WATCH,ANTICIPATION,494.25,,,,,,,,
2026-07-09 12:34,BHARTIHEXA,WATCH CLOSELY,BROKEN,ANTICIPATION,1598.699951171875,,,,,,,,
2026-07-09 12:34,INDUSINDBK,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1013.4000244140624,26.52,947.1,25.0,100.0,True,promoter_pledge: 42.8% of promoter holding pledged,68.58552631578947,Turnaround
2026-07-09 12:34,UNOMINDA,WATCH CLOSELY,BROKEN,ANTICIPATION,1165.4000244140625,,,,,,,,
2026-07-09 12:34,DYNAMATECH,BUY CANDIDATE,WATCH,CONFIRMED,10900.0,385.5,9936.25,52.8,100.0,False,,75.6578947368421,(untagged — theme data Phase C)
2026-07-09 12:34,PARAS,RE-ENTRY WINDOW,EXTENDED,CONFIRMED,1236.0,72.16,,55.8,100.0,False,,97.20394736842104,Hyper-growth
2026-07-09 12:34,RATNAMANI,BUY CANDIDATE,WATCH,CONFIRMED,2636.89990234375,92.52,2405.6,44.8,100.0,False,,,(untagged — theme data Phase C)
2026-07-09 12:34,SANDUMA,WATCH CLOSELY,WATCH,ANTICIPATION,205.6000061035156,,,,,,,,
2026-07-09 12:34,MOSCHIP,MANAGE,,MOVE STOP TO BREAKEVEN (208.49) — +1.5R closed,237.3000030517578,,,,,,,,
