logged_at,week_of,theme,theme_status,direction,strength,symbol,order,effect,confidence
2026-09-22 20:05,2026-09-22,semis,existing,tailwind,5,KAYNES,1,benefit,high
2026-09-22 20:05,2026-09-22,semis,existing,tailwind,5,MOSCHIP,1,benefit,high
2026-09-22 20:05,2026-09-22,semis,existing,tailwind,5,SYRMA,1,benefit,medium
2026-09-22 20:05,2026-09-22,semis,existing,tailwind,5,TATAELXSI,2,benefit,medium
2026-09-22 20:05,2026-09-22,defence,existing,tailwind,4,BDL,1,benefit,high
2026-09-22 20:05,2026-09-22,defence,existing,tailwind,4,MIDHANI,2,benefit,high
2026-09-22 20:05,2026-09-22,defence,existing,tailwind,4,DATAPATTNS,1,benefit,medium
2026-09-22 20:05,2026-09-22,defence,existing,tailwind,4,ZENTEC,1,benefit,medium
2026-09-22 20:05,2026-09-22,defence,existing,tailwind,4,COCHINSHIP,1,benefit,medium
2026-09-22 20:05,2026-09-22,defence,existing,tailwind,4,PTCIL,2,benefit,medium
2026-09-22 20:05,2026-09-22,ev,existing,tailwind,4,OLAELEC,1,benefit,high
2026-09-22 20:05,2026-09-22,ev,existing,tailwind,4,ATHERENERG,1,benefit,high
2026-09-22 20:05,2026-09-22,ev,existing,tailwind,4,EXIDEIND,1,benefit,high
2026-09-22 20:05,2026-09-22,datacentre,existing,tailwind,3,WAAREERTL,1,benefit,medium
2026-09-22 20:05,2026-09-22,renewables,existing,tailwind,3,HEG,1,benefit,high
2026-09-22 20:05,2026-09-22,renewables,existing,tailwind,3,GRINFRA,1,hurt,high
2026-09-22 20:05,2026-09-22,railways,existing,tailwind,3,RVNL,1,benefit,high
2026-09-22 20:05,2026-09-22,railways,existing,tailwind,3,IRCON,1,benefit,high
2026-09-22 20:05,2026-09-22,railways,existing,tailwind,3,TITAGARH,2,benefit,medium
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,JSL,1,benefit,high
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,SAIL,1,benefit,medium
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,JINDALSAW,1,benefit,medium
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,WELCORP,1,benefit,high
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,RATNAMANI,1,benefit,medium
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,GPIL,2,benefit,medium
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,SARDAEN,2,benefit,medium
2026-09-22 20:05,2026-09-22,steel,new,tailwind,3,GRAPHITE,2,benefit,medium
2026-09-22 20:05,2026-09-22,energysecurity,new,mixed,3,ENGINERSIN,2,benefit,medium
2026-09-22 20:05,2026-09-22,energysecurity,new,mixed,3,OIL,1,benefit,medium
2026-09-22 20:05,2026-09-22,energysecurity,new,mixed,3,GESHIP,2,benefit,low
2026-09-22 20:05,2026-09-22,energysecurity,new,mixed,3,MRPL,1,hurt,medium
2026-09-22 20:05,2026-09-22,energysecurity,new,mixed,3,CHENNPETRO,1,hurt,medium
2026-09-22 20:05,2026-09-22,energysecurity,new,mixed,3,HINDPETRO,1,hurt,low
2026-09-22 20:05,2026-09-22,textiles,existing,headwind,3,GOKEX,1,hurt,high
2026-09-22 20:05,2026-09-22,textiles,existing,headwind,3,ICIL,1,hurt,low
