name,lot,entry_date,entry_price,exit_date,exit_price,exit_reason,shares,initial_stop,risk_per_share,realized_pnl,r_multiple,realized_pnl_after_costs,r_multiple_after_costs
TI,trading,2023-11-03,242.8999938964844,2023-12-18,242.8999938964844,stop_loss,344,223.3500061035156,19.549987792968807,0.0,0.0,-250.6727937011719,-0.0372736796261086
TI,core,2023-11-03,242.8999938964844,2023-12-18,242.8999938964844,stop_loss,345,223.3500061035156,19.549987792968807,0.0,0.0,-251.40149368286137,-0.0372736796261086
DBREALTY,trading,2024-01-15,244.8999938964844,2024-01-16,231.0,stop_loss,417,231.0,13.899993896484403,-5796.297454833996,-1.0,-6093.972901016247,-1.0513561369998352
DBREALTY,core,2024-01-15,244.8999938964844,2024-01-16,231.0,stop_loss,418,231.0,13.899993896484403,-5810.197448730481,-1.0,-6108.586744903576,-1.0513561369998352
BORORENEW,trading,2024-01-23,566.5499877929688,2024-02-08,566.5499877929688,stop_loss,177,542.8258819580078,23.724105834960938,3439.995346069336,0.819,3139.1573025512694,0.7475667203304854
BORORENEW,core,2024-01-23,566.5499877929688,2024-02-08,566.5499877929688,stop_loss,177,542.8258819580078,23.724105834960938,0.0,0.0,-300.8380435180664,-0.07164231921753711
SUPRIYA,trading,2024-02-08,351.3500061035156,2024-02-09,326.20001220703125,stop_loss,238,326.20001220703125,25.149993896484375,-5985.698547363281,-1.0,-6227.583903900147,-1.0404105476784187
SUPRIYA,core,2024-02-08,351.3500061035156,2024-02-09,326.20001220703125,stop_loss,239,326.20001220703125,25.149993896484375,-6010.848541259766,-1.0,-6253.750222824096,-1.0404105476784187
HEMIPROP,trading,2024-01-30,206.4499969482422,2024-02-12,206.4499969482422,stop_loss,492,193.25,13.199996948242188,5345.998764038086,0.823,5041.278568542481,0.7762502670077246
HEMIPROP,core,2024-01-30,206.4499969482422,2024-02-12,206.4499969482422,stop_loss,493,193.25,13.199996948242188,0.0,0.0,-305.3395454864502,-0.046920464699592525
ZAGGLE,trading,2024-02-07,277.79998779296875,2024-02-12,252.0,stop_loss,336,252.0,25.79998779296875,-8668.7958984375,-1.0,-8935.815092285156,-1.0308023394455261
ZAGGLE,core,2024-02-07,277.79998779296875,2024-02-12,252.0,stop_loss,337,252.0,25.79998779296875,-8694.595886230469,-1.0,-8962.409780059814,-1.0308023394455261
EIHOTEL,trading,2024-02-07,425.0,2024-02-13,383.1000061035156,stop_loss,91,383.1000061035156,41.899993896484375,-3812.899444580078,-1.0,-3923.205095413208,-1.0289295987047142
EIHOTEL,core,2024-02-07,425.0,2024-02-13,383.1000061035156,stop_loss,91,383.1000061035156,41.899993896484375,-3812.899444580078,-1.0,-3923.205095413208,-1.0289295987047142
GLAND,trading,2023-08-08,1611.050048828125,2024-02-15,1897.0999755859373,trend_break_50dma,34,1430.0999755859375,180.9500732421875,11555.275329589838,1.878,11376.359678344721,1.8491222914352075
GLAND,core,2023-08-08,1611.050048828125,2024-04-05,1754.550048828125,weekly_close_below_30wk_ma,35,1430.0999755859375,180.9500732421875,5022.5,0.793,4845.805994873047,0.7651370202443024
ABFRL,trading,2024-04-02,236.1499938964844,2024-04-15,229.4910651615688,stop_loss,446,229.4910651615688,6.658928734915605,-2969.88221577236,-1.0,-3281.3960842821975,-1.1048909841795944
ABFRL,core,2024-04-02,236.1499938964844,2024-04-15,229.4910651615688,stop_loss,446,229.4910651615688,6.658928734915605,-2969.88221577236,-1.0,-3281.3960842821975,-1.1048909841795944
ANUP,trading,2024-05-06,2063.699951171875,2024-05-07,1991.3477412632533,stop_loss,55,1991.3477412632533,72.35220990862172,-3979.3715449741944,-1.0,-4313.9129796000925,-1.084068911596961
ANUP,core,2024-05-06,2063.699951171875,2024-05-07,1991.3477412632533,stop_loss,56,1991.3477412632533,72.35220990862172,-4051.723754882816,-1.0,-4392.347761047367,-1.0840689115969613
BANCOINDIA,trading,2023-08-08,200.4750061035156,2023-10-19,241.5249938964844,trend_break_50dma,325,181.25,19.225006103515597,14091.58647155762,2.255,13876.11147155762,2.2208433836067853
