name,lot,entry_date,entry_price,exit_date,exit_price,exit_reason,shares,initial_stop,risk_per_share,realized_pnl,r_multiple,realized_pnl_after_costs,r_multiple_after_costs
BORORENEW,trading,2024-01-23,566.5499877929688,2024-02-08,566.5499877929688,stop_loss,162,542.8258819580078,23.724105834960938,3143.444023132324,0.818,2868.1007290649413,0.7462589153503641
BORORENEW,core,2024-01-23,566.5499877929688,2024-02-08,566.5499877929688,stop_loss,163,542.8258819580078,23.724105834960938,0.0,0.0,-277.0429440307617,-0.07164231921753711
HEMIPROP,trading,2024-01-30,206.4499969482422,2024-02-12,206.4499969482422,stop_loss,446,193.25,13.199996948242188,4850.998878479004,0.824,4574.768782562256,0.7770705666905421
HEMIPROP,core,2024-01-30,206.4499969482422,2024-02-12,206.4499969482422,stop_loss,447,193.25,13.199996948242188,0.0,0.0,-276.8494459075928,-0.046920464699592525
ZAGGLE,trading,2024-02-07,277.79998779296875,2024-02-12,252.0,stop_loss,306,252.0,25.79998779296875,-7894.7962646484375,-1.0,-8137.97445904541,-1.0308023394455261
ZAGGLE,core,2024-02-07,277.79998779296875,2024-02-12,252.0,stop_loss,306,252.0,25.79998779296875,-7894.7962646484375,-1.0,-8137.97445904541,-1.0308023394455261
EIHOTEL,trading,2024-02-07,425.0,2024-02-13,383.1000061035156,stop_loss,188,383.1000061035156,41.899993896484375,-7877.1988525390625,-1.0,-8105.083054260254,-1.0289295987047145
EIHOTEL,core,2024-02-07,425.0,2024-02-13,383.1000061035156,stop_loss,189,383.1000061035156,41.899993896484375,-7919.098846435547,-1.0,-8148.195198165894,-1.0289295987047145
GLAND,trading,2023-08-08,1611.050048828125,2024-02-15,1897.0999755859373,trend_break_50dma,34,1430.0999755859375,180.9500732421875,11555.275329589838,1.878,11376.359678344721,1.8491222914352075
GLAND,core,2023-08-08,1611.050048828125,2024-04-05,1754.550048828125,weekly_close_below_30wk_ma,35,1430.0999755859375,180.9500732421875,5022.5,0.793,4845.805994873047,0.7651370202443024
ANUP,trading,2024-05-06,2063.699951171875,2024-05-07,1991.3477412632533,stop_loss,50,1991.3477412632533,72.35220990862172,-3617.610495431086,-1.0,-3921.7390723637204,-1.084068911596961
ANUP,core,2024-05-06,2063.699951171875,2024-05-07,1991.3477412632533,stop_loss,51,1991.3477412632533,72.35220990862172,-3689.9627053397076,-1.0,-4000.173853810995,-1.084068911596961
SUDARSCHEM,trading,2024-05-21,835.4500122070312,2024-05-24,806.9419719151089,stop_loss,123,806.9419719151089,28.508040291922384,-3506.488955906453,-1.0,-3809.5102769769883,-1.086417303713481
SUDARSCHEM,core,2024-05-21,835.4500122070312,2024-05-24,806.9419719151089,stop_loss,123,806.9419719151089,28.508040291922384,-3506.488955906453,-1.0,-3809.5102769769883,-1.086417303713481
KAYNES,trading,2024-05-17,3080.35009765625,2024-06-04,3080.35009765625,stop_loss,32,2816.39990234375,263.9501953125,0.0,0.0,-295.71360937500003,-0.03501058327321161
KAYNES,core,2024-05-17,3080.35009765625,2024-06-04,3080.35009765625,stop_loss,32,2816.39990234375,263.9501953125,0.0,0.0,-295.71360937500003,-0.03501058327321161
GRSE,trading,2024-05-23,1425.5999755859375,2024-06-04,1300.0,stop_loss,67,1300.0,125.5999755859375,-8415.198364257812,-1.0,-8689.1211618042,-1.0325509614496824
GRSE,core,2024-05-23,1425.5999755859375,2024-06-04,1300.0,stop_loss,68,1300.0,125.5999755859375,-8540.79833984375,-1.0,-8818.809537353516,-1.0325509614496824
TIMETECHNO,trading,2024-06-21,168.64999389648438,2024-07-08,159.3000030517578,stop_loss,625,159.3000030517578,9.349990844726562,-5843.744277954102,-1.0,-6151.197400093079,-1.05261235049228
TIMETECHNO,core,2024-06-21,168.64999389648438,2024-07-08,159.3000030517578,stop_loss,626,159.3000030517578,9.349990844726562,-5853.094268798828,-1.0,-6161.039315933228,-1.0526123504922802
PGEL,trading,2024-07-25,449.5499877929688,2024-08-02,423.5,stop_loss,249,423.5,26.049987792968807,-6486.446960449233,-1.0,-6812.531130889907,-1.0502716159445926
PGEL,core,2024-07-25,449.5499877929688,2024-08-02,423.5,stop_loss,250,423.5,26.049987792968807,-6512.496948242202,-1.0,-6839.890693664565,-1.0502716159445926
MAPMYINDIA,trading,2024-06-20,2409.64990234375,2024-08-06,2135.0,stop_loss,31,2135.0,274.64990234375,-8514.14697265625,-1.0,-8725.473193115235,-1.0248205981336325
MAPMYINDIA,core,2024-06-20,2409.64990234375,2024-08-06,2135.0,stop_loss,32,2135.0,274.64990234375,-8788.796875,-1.0,-9006.9400703125,-1.0248205981336325
FORCEMOT,trading,2024-02-14,4422.64990234375,2024-05-28,8123.0498046875,trend_break_50dma,20,4250.10009765625,172.5498046875,54393.845703125,15.762,54017.47471191406,15.652719749449604
FORCEMOT,core,2024-02-14,4422.64990234375,2024-09-06,7711.5,weekly_close_below_30wk_ma,20,4250.10009765625,172.5498046875,65777.001953125,19.06,65412.97745605469,18.954810634101342
