symbol,entry_date,entry_price,initial_stop,stop_current,shares_trading,shares_core,trading_open,core_open,partial_taken,breakeven_moved,notes,verdict_id,verdict,conviction,size_plan
SYRMA,2026-07-09,1410.4,1220.64,1220.64,8,8,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-08,SYRMA@2026-07-08 10:46,BUY,MEDIUM,HALF PLAN
SHILPAMED,2026-07-09,599.0,535.42,535.42,24,25,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-08,SHILPAMED@2026-07-08 10:47,BUY,MEDIUM,HALF PLAN
LAURUSLABS,2026-07-09,1468.1,1369.45,1468.1,15,16,True,True,True,True,PAPER auto-entry from analyst verdict 2026-07-08,LAURUSLABS@2026-07-08 10:48,BUY,MEDIUM,HALF PLAN
CHENNPETRO,2026-07-10,1130.7,1037.95,1130.7,33,34,True,True,False,True,PAPER auto-entry from analyst verdict 2026-07-09,CHENNPETRO@2026-07-09 16:41,BUY,HIGH,FULL PLAN
IPCALAB,2026-07-10,1788.0,1650.1,1650.1,22,23,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-09,IPCALAB@2026-07-09 16:42,BUY,HIGH,FULL PLAN
ACMESOLAR,2026-07-10,370.0,331.06,331.06,40,40,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-09,ACMESOLAR@2026-07-09 16:43,BUY,MEDIUM,HALF PLAN
RADICO,2026-07-27,4120.0,3827.16,3827.16,10,11,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-25,RADICO@2026-07-25 15:56,BUY,MEDIUM,HALF PLAN
JAMNAAUTO,2026-07-27,133.73,119.13,119.13,428,428,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-25,JAMNAAUTO@2026-07-25 21:31,BUY,MEDIUM,FULL PLAN
ACUTAAS,2026-07-28,3369.7,3015.82,3015.82,8,9,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-27,ACUTAAS@2026-07-27 21:31,BUY,MEDIUM,HALF PLAN
DCBBANK,2026-07-28,191.25,173.01,173.01,342,343,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-27,DCBBANK@2026-07-27 21:32,BUY,MEDIUM,FULL PLAN
MARKSANS,2026-07-28,263.7,233.64,233.64,103,104,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-27,MARKSANS@2026-07-27 21:34,BUY,MEDIUM,HALF PLAN
LUPIN,2026-07-28,2409.2,2265.2,2265.2,21,22,True,True,False,False,PAPER auto-entry from analyst verdict 2026-07-27,LUPIN@2026-07-27 21:37,BUY,MEDIUM,HALF PLAN
