symbol,company,series,last_close,market_cap_cr,median_turnover_cr,median_trades,band_pct,gsm_stage,asm,exclude_reason,mcap_pending
TEMPSENS,Tempsens Instruments (India) Limited,EQ,586.65,,3036.32,821540.0,20.0,,,"listed 0d ago — under a year of history, no trend to read; closed at circuit on 100% of sessions — a stop cannot fill in a locked market",False
HDFCBANK,HDFC Bank Limited,EQ,720.3,1152536.0,1608.606,296777.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ICICIBANK,ICICI Bank Limited,EQ,1422.8,1029986.0,1441.284,141775.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BSE,BSE Limited,EQ,3405.0,148509.0,1367.462,165846.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
DHOOTTRANS,Dhoot Transmission Limited,EQ,1454.9,,1231.275,319267.5,10.0,,,"listed 11d ago — under a year of history, no trend to read",False
RELIANCE,Reliance Industries Limited,EQ,1287.0,1769785.0,1183.61,160390.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BHARTIARTL,Bharti Airtel Limited,EQ,1882.4,1230536.0,1099.12,128875.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
INFY,Infosys Limited,EQ,1144.0,458547.0,988.475,169719.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ETERNAL,ETERNAL LIMITED,EQ,328.0,291875.0,948.848,156665.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NETWEB,Netweb Technologies India Limited,EQ,5322.9,31892.0,934.193,146994.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
KALYANKJIL,Kalyan Jewellers India Limited,EQ,615.8,62817.0,899.157,127523.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SBIN,State Bank of India,EQ,1047.5,948354.0,885.485,146788.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
CUPID,Cupid Limited,EQ,282.33,38266.0,732.289,166678.0,20.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging",False
TCS,Tata Consultancy Services Limited,EQ,2342.0,855895.0,684.112,116317.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
MCX,Multi Commodity Exchange of India Limited,EQ,3332.0,81215.0,665.308,97557.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
AXISBANK,Axis Bank Limited,EQ,1265.0,382542.0,644.451,118748.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
LALITHAA,Lalithaa Jewellery Mart Limited,EQ,265.24,,632.879,194690.0,10.0,,,"listed 4d ago — under a year of history, no trend to read",False
M&M,Mahindra & Mahindra Limited,EQ,3334.0,422613.0,627.578,108320.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BAJFINANCE,Bajaj Finance Limited,EQ,1079.9,710506.0,595.424,114060.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
MILKYMIST,Milky Mist Dairy Food Limited,EQ,214.31,,580.068,138199.0,10.0,,,"listed 10d ago — under a year of history, no trend to read; closed at circuit on 33% of sessions — a stop cannot fill in a locked market",False
LT,Larsen & Toubro Limited,EQ,4045.8,541940.0,560.109,76155.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
DIXON,Dixon Technologies (India) Limited,EQ,14650.0,85899.0,550.49,49842.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HINDCOPPER,Hindustan Copper Limited,EQ,533.55,47539.0,547.708,115904.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PAYTM,One 97 Communications Limited,EQ,1650.9,86044.0,530.766,90369.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
LICI,Life Insurance Corporation Of India,EQ,422.0,498410.0,496.384,77568.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SILVERBEES,,,230.42,,471.204,72613.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
GROWW,Billionbrains Garage Ventures Limited,EQ,191.46,,451.828,123745.0,20.0,,,"listed 289d ago — under a year of history, no trend to read",False
IDEA,Vodafone Idea Limited,EQ,14.68,151030.0,430.199,434796.0,,,,"not penny/nano — too big on both arms: a Rs15 share of a Rs151,030 Cr company (the price arm's ceiling is Rs5,000 Cr — a cheap share is not a small company)",False
MARUTI,Maruti Suzuki India Limited,EQ,13376.0,447521.0,424.449,46076.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TATASTEEL,Tata Steel Limited,EQ,186.5,236800.0,422.918,136624.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HINDALCO,Hindalco Industries Limited,EQ,1037.4,218981.0,411.898,93297.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HFCL,HFCL Limited,EQ,251.47,34899.0,410.733,93522.0,5.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; 5% circuit band — cannot exit on bad news",False
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,423.7,388246.0,410.715,122453.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ATHERENERG,Ather Energy Limited,EQ,1616.3,56750.0,408.802,114781.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
GVT&D,GE Vernova T&D India Limited,EQ,4339.2,110698.0,404.686,78632.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SHRIRAMFIN,Shriram Finance Limited,EQ,1086.9,246283.0,402.974,75049.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TVSMOTOR,TVS Motor Company Limited,EQ,4304.2,204910.0,398.127,57123.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BEL,Bharat Electronics Limited,EQ,411.9,283510.0,393.585,119641.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
KAYNES,Kaynes Technology India Limited,EQ,3943.1,25504.0,391.466,65015.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
COFORGE,Coforge Limited,EQ,2014.6,76227.0,373.349,65382.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
VAML,Vedanta Aluminium Metal Limited,EQ,456.15,,364.947,94518.0,20.0,,,"listed 74d ago — under a year of history, no trend to read",False
ITC,ITC Limited,EQ,266.0,352078.0,354.638,204924.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TECHM,Tech Mahindra Limited,EQ,1640.9,161841.0,351.698,94086.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
LAURUSLABS,Laurus Labs Limited,EQ,1938.5,97364.0,349.001,49237.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
DIVISLAB,Divi's Laboratories Limited,EQ,9239.0,213861.0,346.837,49400.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
MOLBIO,Molbio Diagnostics Limited,EQ,1094.75,,346.232,122041.5,20.0,,,"listed 11d ago — under a year of history, no trend to read",False
SWIGGY,Swiggy Limited,EQ,280.5,78630.0,343.079,88330.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,1920.0,477588.0,342.092,88441.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
DATAPATTNS,Data Patterns (India) Limited,EQ,4624.8,27040.0,338.206,57683.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HSCL,Himadri Speciality Chemical Limited,EQ,672.95,33019.0,329.472,51689.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,1707.5,390867.0,329.044,70929.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ADANIENSOL,Adani Energy Solutions Limited,EQ,1581.4,197659.0,323.693,55342.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HAL,Hindustan Aeronautics Limited,EQ,4861.1,310746.0,317.466,47842.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SAIL,Steel Authority of India Limited,EQ,200.0,71648.0,312.007,72850.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TMCV,Tata Motors Limited,EQ,466.3,,311.606,106059.0,20.0,,,"listed 289d ago — under a year of history, no trend to read",False
HINDZINC,Hindustan Zinc Limited,EQ,622.0,227829.0,306.533,63215.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
GOLDBEES,,,130.85,,303.271,77702.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
ADANIPOWER,Adani Power Limited,EQ,212.63,407505.0,302.167,77913.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HEROMOTOCO,Hero MotoCorp Limited,EQ,5600.0,107770.0,299.98,50601.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TITAN,Titan Company Limited,EQ,5169.2,432814.0,298.095,53541.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
LENSKART,Lenskart Solutions Limited,EQ,636.15,,296.263,89419.0,20.0,,,"listed 291d ago — under a year of history, no trend to read",False
LIQUIDBEES,,,1000.0,,296.224,4156.0,5.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company); 5% circuit band — cannot exit on bad news,False
POWERINDIA,Hitachi Energy India Limited,EQ,33330.0,152393.0,295.964,28147.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SUNSHINE,Sunshine Pictures Limited,EQ,429.75,,295.062,114528.5,20.0,,,"listed 3d ago — under a year of history, no trend to read",False
SHIPROCKET,Shiprocket Limited,EQ,125.4,,290.571,100160.0,20.0,,,"listed 9d ago — under a year of history, no trend to read",False
NTPC,NTPC Limited,EQ,330.05,336717.0,290.533,81709.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
EICHERMOT,Eicher Motors Limited,EQ,8059.0,215028.0,285.334,41013.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
VEDL,Vedanta Limited,EQ,287.95,103332.0,284.917,80471.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PFC,Power Finance Corporation Limited,EQ,352.0,140040.0,277.699,59749.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BAJAJ-AUTO,Bajaj Auto Limited,EQ,11910.0,316588.0,277.47,34876.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ONGC,Oil & Natural Gas Corporation Limited,EQ,232.25,305110.0,276.865,97480.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ADANIENT,Adani Enterprises Limited,EQ,3168.5,407310.0,272.674,49061.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
NESTLEIND,Nestle India Limited,EQ,1454.6,291098.0,268.94,48269.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
MUTHOOTFIN,Muthoot Finance Limited,EQ,3091.0,125242.0,268.248,43407.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
APARINDS,Apar Industries Limited,EQ,17803.0,70580.0,267.528,41541.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PINELABS,Pine Labs Limited,EQ,165.07,,267.406,76702.0,20.0,,,"listed 287d ago — under a year of history, no trend to read",False
JIOFIN,Jio Financial Services Limited,EQ,238.4,169344.0,267.272,65762.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
OFSS,Oracle Financial Services Software Limited,EQ,12190.0,102096.0,265.422,33197.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
DIACABS,Diamond Power Infrastructure Limited,BE,322.85,20264.0,264.422,51556.5,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news,False
INDIGO,InterGlobe Aviation Limited,EQ,5166.0,199945.0,261.028,38351.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ZEEL,Zee Entertainment Enterprises Limited,EQ,101.51,11003.0,260.363,77610.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ULTRACEMCO,UltraTech Cement Limited,EQ,11589.0,350757.0,259.416,30028.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
GRASIM,Grasim Industries Limited,EQ,3290.0,211018.0,252.503,43226.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ASHOKLEY,Ashok Leyland Limited,EQ,175.77,97612.0,250.465,72264.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HCLTECH,HCL Technologies Limited,EQ,1316.1,365504.0,249.245,69672.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TMPV,Tata Motors Passenger Vehicles Limited,EQ,319.4,125116.0,248.869,73449.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,8838.5,128788.0,245.143,37069.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BHEL,Bharat Heavy Electricals Limited,EQ,430.85,143809.0,244.064,56606.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
INDOMIM,INDO-MIM Limited,EQ,868.05,,237.325,81878.0,10.0,,,"listed 29d ago — under a year of history, no trend to read",False
HINDUNILVR,Hindustan Unilever Limited,EQ,2010.4,493720.0,233.18,53952.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BLEL,Behari Lal Engineering Limited,EQ,457.45,,232.35,78697.0,20.0,,,"listed 9d ago — under a year of history, no trend to read",False
PERSISTENT,Persistent Systems Limited,EQ,5875.0,87535.0,232.34,36377.0,,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,794.7,,231.555,71710.0,20.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging",False
