symbol,market_cap_cr,current_price,pe,roce_pct,roe_pct,book_value,sales_growth_ttm,sales_growth_3y,sales_growth_5y,profit_growth_ttm,profit_growth_3y,profit_growth_5y,np_latest_q,np_yoy_q,loss_to_profit,opm_latest_q,opm_yoy_q,debt_cr,debt_3y_ago_cr,debt_to_equity,cfo_last_cr,equity_cap_now,equity_cap_3y_ago,shares_out_cr,promoter_pct,promoter_pct_4q_ago,fii_pct,fii_pct_4q_ago,dii_pct,dii_pct_4q_ago,pledge_pct,fetched_at,source,sales_ttm_cr,sales_latest_cr,sales_yoy_q,reserves_cr,net_worth_cr
IDEA,142254.0,13.1,,-1.6,,-3.3,3.0,2.0,1.0,13.0,6.0,0.0,51970.0,-7167.0,True,43.0,42.0,192528.0,237766.0,,19411.0,108343.0,48680.0,10834.3,25.64,25.57,6.17,5.99,6.05,4.74,,2026-07-25T02:44:16,https://www.screener.in/company/IDEA/consolidated/,44872.0,11332.0,2.9,-144101.0,-35758.0
PCJEWELLER,9002.0,9.28,12.6,9.58,9.96,9.45,49.0,11.0,3.0,24.0,77.0,63.0,153.0,95.0,False,18.0,21.0,1167.0,3736.0,0.14,-77.0,865.0,465.0,865.0,38.5,37.61,12.15,6.46,4.31,8.23,,2026-07-25T02:44:18,https://www.screener.in/company/PCJEWELLER/consolidated/,3352.0,927.0,32.6,7309.0,8174.0
SUZLON,71276.0,52.3,22.5,35.1,40.6,6.96,54.0,41.0,38.0,52.0,165.0,46.0,1114.0,1181.0,False,18.0,18.0,556.0,1938.0,0.06,1202.0,2745.0,2454.0,1372.5,11.7,11.73,24.15,22.7,11.12,10.14,,2026-07-25T02:44:20,https://www.screener.in/company/SUZLON/consolidated/,16732.0,5493.0,44.9,6719.0,9464.0
IFCI,18893.0,70.1,102.0,5.03,2.09,33.2,10.0,7.0,0.0,8.0,42.0,16.0,34.0,260.0,False,11.0,87.0,,,,280.0,2694.0,2196.0,269.4,72.57,72.57,3.5,2.6,1.66,1.62,,2026-07-25T02:44:22,https://www.screener.in/company/IFCI/consolidated/,2068.0,470.0,13.5,6250.0,8944.0
YESBANK,72033.0,23.0,19.1,5.98,7.1,16.7,0.0,10.0,9.0,38.0,69.0,25.0,1072.0,809.0,False,-7.0,-10.0,,,,21217.0,6276.0,5751.0,3138.0,,,46.12,44.95,24.04,20.79,,2026-07-25T02:44:24,https://www.screener.in/company/YESBANK/consolidated/,30658.0,8054.0,5.9,44882.0,51158.0
NMDC,73464.0,83.6,9.86,27.6,23.4,38.7,34.0,22.0,16.0,14.0,17.0,4.0,2027.0,1477.0,False,23.0,29.0,6407.0,2128.0,0.19,4996.0,879.0,293.0,879.0,60.79,60.79,13.59,13.04,13.8,14.38,,2026-07-25T02:44:26,https://www.screener.in/company/NMDC/consolidated/,32071.0,11343.0,61.9,33183.0,34062.0
IDFCFIRSTB,69651.0,80.8,43.2,5.98,3.78,54.8,11.0,21.0,20.0,9.0,-13.0,28.0,331.0,296.0,False,-14.0,-16.0,,,,6817.0,8602.0,6618.0,860.2,0.0,0.0,36.1,24.64,24.35,24.33,,2026-07-25T02:44:28,https://www.screener.in/company/IDFCFIRSTB/consolidated/,40549.0,10553.0,12.1,38514.0,47116.0
MAHABANK,62325.0,81.0,8.27,6.03,22.6,46.4,16.0,23.0,20.0,31.0,39.0,65.0,2023.0,1504.0,False,16.0,12.0,,,,-11336.0,7692.0,6730.0,769.2,73.6,79.6,5.82,2.35,14.28,10.06,,2026-07-25T02:44:30,https://www.screener.in/company/MAHABANK/consolidated/,30262.0,8035.0,13.9,25533.0,33225.0
IDBI,91320.0,84.9,9.8,5.92,14.1,63.8,1.0,12.0,8.0,18.0,35.0,43.0,2131.0,2024.0,False,23.0,15.0,,,,16762.0,10752.0,10752.0,1075.2,94.72,94.72,0.45,0.47,0.1,0.11,,2026-07-25T02:44:32,https://www.screener.in/company/IDBI/consolidated/,29542.0,7549.0,7.4,57812.0,68564.0
NHPC,79748.0,79.4,21.2,5.73,9.29,41.2,12.0,3.0,4.0,28.0,-1.0,2.0,1549.0,920.0,False,23.0,51.0,52327.0,29540.0,1.26,3294.0,10045.0,10045.0,1004.5,61.39,67.4,12.29,10.05,14.54,10.54,,2026-07-25T02:44:34,https://www.screener.in/company/NHPC/consolidated/,11616.0,2816.0,20.0,31392.0,41437.0
UJJIVANSFB,,,,,,,,,,,,,,,False,,,,,,,,,,0.0,0.0,16.81,17.05,33.45,20.13,,2026-07-25T02:44:36,https://www.screener.in/company/UJJIVANSFB/consolidated/,,,,,
PAISALO,6382.0,70.2,26.8,12.3,14.3,19.7,23.0,26.0,22.0,19.0,35.0,33.0,72.0,46.0,False,39.0,33.0,,,,-783.0,91.0,45.0,91.0,46.71,41.16,6.79,20.89,6.83,7.68,,2026-07-25T02:44:38,https://www.screener.in/company/PAISALO/consolidated/,944.0,261.0,34.5,1702.0,1793.0
NBCC,25337.0,93.8,38.3,31.0,24.1,11.2,7.0,13.0,13.0,10.0,20.0,24.0,254.0,183.0,False,6.0,6.0,0.0,0.0,0.0,439.0,270.0,180.0,270.0,61.75,61.75,4.77,5.34,11.28,10.97,,2026-07-25T02:44:40,https://www.screener.in/company/NBCC/consolidated/,12887.0,4560.0,-1.8,2747.0,3017.0
JPPOWER,11617.0,17.0,13.9,6.97,3.6,18.6,9.0,-1.0,11.0,12.0,97.0,24.0,469.0,278.0,False,43.0,38.0,3391.0,4761.0,0.27,1301.0,6853.0,6853.0,685.3,24.0,24.0,6.75,6.34,11.15,17.19,73.0,2026-07-25T02:44:42,https://www.screener.in/company/JPPOWER/consolidated/,5756.0,1776.0,12.2,5879.0,12732.0
INOXWIND,13302.0,77.0,32.8,10.5,7.09,36.9,24.0,81.0,44.0,-12.0,38.0,27.0,106.0,190.0,False,16.0,20.0,1587.0,2416.0,0.25,-598.0,1728.0,326.0,172.8,44.18,44.18,14.53,13.37,10.02,9.87,,2026-07-25T02:44:44,https://www.screener.in/company/INOXWIND/consolidated/,4396.0,1244.0,-2.4,4654.0,6382.0
SAGILITY,18922.0,40.4,18.4,13.4,10.5,20.6,29.0,19.0,,54.0,86.0,,217.0,149.0,False,22.0,22.0,1111.0,2896.0,0.12,1203.0,4679.0,1919.0,467.9,50.95,67.38,9.99,5.59,21.42,14.87,,2026-07-25T02:44:46,https://www.screener.in/company/SAGILITY/consolidated/,7616.0,1963.0,27.6,4980.0,9659.0
SOUTHBANK,12179.0,46.5,8.06,6.42,13.5,45.1,7.0,11.0,6.0,14.0,23.0,88.0,378.0,322.0,False,5.0,-8.0,,,,3907.0,262.0,209.0,262.0,,,25.39,17.91,14.24,11.92,,2026-07-25T02:44:48,https://www.screener.in/company/SOUTHBANK/consolidated/,10112.0,2628.0,11.3,11143.0,11405.0
IRFC,,,,,,,,,,,,,,,False,,,,,,,,,,82.9,86.36,1.17,0.97,3.98,1.48,,2026-07-25T02:44:50,https://www.screener.in/company/IRFC/consolidated/,,,,,
MOREPENLAB,2948.0,53.8,39.6,8.05,6.2,22.8,0.0,8.0,9.0,-37.0,24.0,-5.0,16.0,20.0,False,5.0,9.0,208.0,25.0,0.17,33.0,110.0,102.0,55.0,35.66,35.66,1.46,1.62,1.28,1.49,,2026-07-25T02:44:52,https://www.screener.in/company/MOREPENLAB/consolidated/,1806.0,485.0,4.1,1137.0,1247.0
HCC,5614.0,21.4,40.8,22.8,9.06,8.12,-29.0,-22.0,-14.0,5428.0,32.0,19.0,59.0,90.0,False,17.0,21.0,1019.0,5512.0,0.48,892.0,262.0,151.0,262.0,16.18,16.72,11.38,9.58,3.7,6.79,82.4,2026-07-25T02:44:54,https://www.screener.in/company/HCC/consolidated/,3969.0,992.0,-27.8,1865.0,2127.0
RPOWER,9951.0,24.1,,6.1,-0.91,38.8,0.0,0.0,-1.0,3.0,24.0,,-494.0,126.0,False,31.0,30.0,14812.0,21236.0,0.92,2824.0,4136.0,3735.0,413.6,24.98,24.98,13.64,13.09,2.79,3.75,,2026-07-25T02:44:56,https://www.screener.in/company/RPOWER/consolidated/,7620.0,1887.0,-4.6,11904.0,16040.0
TFCILTD,4040.0,87.3,47.3,10.4,9.87,21.5,-8.0,,,5.0,,,18.0,20.0,False,49.0,42.0,,,,139.0,90.0,81.0,45.0,3.85,3.85,5.46,4.61,0.0,0.08,,2026-07-25T02:44:58,https://www.screener.in/company/TFCILTD/consolidated/,233.0,51.0,-17.7,883.0,973.0
MSUMI,,,,,,,,,,,,,,,False,,,,,,,,,,61.72,61.72,8.91,10.27,17.85,16.59,,2026-07-25T02:45:00,https://www.screener.in/company/MSUMI/consolidated/,,,,,
JAYNECOIND,8424.0,86.8,,2.93,-0.87,33.2,-13.0,1.0,3.0,4.0,,,,,False,,,4114.0,2422.0,1.94,521.0,639.0,497.0,63.9,55.15,55.15,1.32,1.07,0.78,0.51,99.9,2026-07-25T02:45:02,https://www.screener.in/company/JAYNECOIND/consolidated/,,,,1482.0,2121.0
MOTISONS,,,,,,,,,,,,,,,False,,,,,,,,,,57.12,66.0,2.89,0.09,0.74,0.5,,2026-07-25T02:45:04,https://www.screener.in/company/MOTISONS/consolidated/,,,,,
CENTRALBK,28086.0,31.0,6.15,5.64,11.9,45.2,9.0,12.0,10.0,8.0,39.0,46.0,1325.0,1284.0,False,8.0,0.0,,,,2804.0,9051.0,8681.0,905.1,81.19,89.27,0.93,0.88,10.95,4.86,,2026-07-25T02:45:06,https://www.screener.in/company/CENTRALBK/consolidated/,37271.0,9726.0,12.8,29950.0,39001.0
RBA,4643.0,65.2,,-0.46,-22.7,12.4,11.0,11.0,23.0,14.0,5.0,4.0,-47.0,-60.0,False,13.0,12.0,1967.0,1168.0,2.73,303.0,583.0,495.0,58.3,9.22,11.27,9.25,20.64,39.62,40.07,,2026-07-25T02:45:08,https://www.screener.in/company/RBA/consolidated/,2823.0,707.0,11.7,138.0,721.0
LLOYDSENT,11894.0,78.0,1079.0,3.67,0.33,27.7,18.0,67.0,366.0,-76.0,-40.0,162.0,69.0,25.0,False,6.0,5.0,798.0,70.0,0.19,-361.0,151.0,127.0,151.0,62.72,62.72,0.65,0.59,0.11,0.12,,2026-07-25T02:45:10,https://www.screener.in/company/LLOYDSENT/consolidated/,1757.0,720.0,47.2,3992.0,4143.0
BAJAJHFL,,,,,,,,,,,,,,,False,,,,,,,,,,86.7,88.7,0.9,0.91,1.0,0.54,,2026-07-25T02:45:12,https://www.screener.in/company/BAJAJHFL/consolidated/,,,,,
NTPCGREEN,81171.0,96.3,134.0,3.53,2.79,22.5,42.0,156.0,,9.0,45.0,,305.0,220.0,False,89.0,89.0,31716.0,6137.0,1.67,2386.0,8426.0,4720.0,842.6,89.01,89.01,1.67,1.79,5.21,4.63,,2026-07-25T02:45:14,https://www.screener.in/company/NTPCGREEN/consolidated/,3285.0,1107.0,62.8,10539.0,18965.0
ATALREAL,382.0,31.4,58.9,10.7,7.95,7.79,25.0,,,83.0,,,3.08,0.49,False,7.76,4.85,14.0,,0.15,-19.0,25.0,,12.5,30.15,32.84,2.46,1.48,,,,2026-07-25T02:45:16,https://www.screener.in/company/ATALREAL/consolidated/,120.05,60.2,37.8,71.0,96.0
CCAVENUE,5697.0,16.3,20.2,7.71,6.64,13.6,103.0,61.0,64.0,22.0,30.0,31.0,89.0,55.0,False,4.0,6.0,430.0,8.0,0.09,537.0,349.0,268.0,349.0,27.29,27.28,5.93,5.91,0.17,0.22,,2026-07-25T02:45:18,https://www.screener.in/company/CCAVENUE/consolidated/,8116.0,2490.0,114.5,4397.0,4746.0
EQUITASBNK,,,,,,,,,,,,,,,False,,,,,,,,,,,,15.7,15.67,51.25,48.2,,2026-07-25T02:45:19,https://www.screener.in/company/EQUITASBNK/consolidated/,,,,,
FILATEX,3278.0,73.8,17.9,16.9,12.9,33.9,-2.0,,,37.0,,,40.0,41.0,False,7.0,7.0,150.0,712.0,0.1,246.0,44.0,44.0,44.0,65.47,65.41,4.03,4.28,2.84,2.56,,2026-07-25T02:45:21,https://www.screener.in/company/FILATEX/consolidated/,4160.0,985.0,-8.8,1460.0,1504.0
ABFRL,6865.0,56.2,,-3.07,-11.7,47.8,11.0,-13.0,9.0,-25.0,,-2.0,-164.0,-24.0,False,9.0,12.0,6189.0,6573.0,1.06,161.0,1221.0,949.0,122.1,46.61,46.61,12.87,18.62,5.69,8.07,,2026-07-25T02:45:24,https://www.screener.in/company/ABFRL/consolidated/,8177.0,1990.0,15.8,4619.0,5840.0
PATELENG,2780.0,28.0,6.98,13.5,9.68,44.8,0.0,9.0,21.0,10.0,30.0,49.0,44.0,38.0,False,15.0,14.0,1216.0,1758.0,0.27,560.0,99.0,77.0,99.0,31.49,36.11,3.28,2.53,4.76,4.75,86.6,2026-07-25T02:45:25,https://www.screener.in/company/PATELENG/consolidated/,5101.0,1421.0,-11.8,4341.0,4440.0
MCLOUD,1569.0,26.6,13.6,19.8,19.2,11.6,16.0,18.0,27.0,12.0,16.0,130.0,30.0,23.0,False,26.0,29.0,292.0,216.0,0.43,92.0,118.0,117.0,59.0,54.04,58.3,0.21,0.43,0.02,0.0,46.8,2026-07-25T02:45:27,https://www.screener.in/company/MCLOUD/consolidated/,698.0,206.0,32.1,569.0,687.0
IRB,23685.0,19.6,26.9,7.48,4.31,17.3,0.0,6.0,8.0,-11.0,8.0,50.0,296.0,215.0,False,56.0,46.0,20027.0,16748.0,0.96,2098.0,604.0,604.0,604.0,30.81,30.42,43.87,43.4,10.14,9.58,,2026-07-25T02:45:29,https://www.screener.in/company/IRB/consolidated/,7648.0,1927.0,-10.3,20345.0,20949.0
JTLIND,2769.0,72.6,28.1,9.57,7.28,38.9,12.0,11.0,37.0,1.0,3.0,37.0,38.0,17.0,False,8.0,4.0,244.0,107.0,0.16,-67.0,39.0,17.0,39.0,49.26,48.91,4.84,3.39,0.14,2.21,,2026-07-25T02:45:31,https://www.screener.in/company/JTLIND/consolidated/,2137.0,693.0,47.8,1447.0,1486.0
UCOBANK,32452.0,25.9,13.2,5.76,8.5,24.6,15.0,19.0,,48.0,37.0,,666.0,538.0,False,-5.0,-5.0,,,,1913.0,12540.0,11956.0,1254.0,90.95,90.95,0.06,0.13,4.3,4.52,,2026-07-25T02:45:33,https://www.screener.in/company/UCOBANK/consolidated/,25067.0,6745.0,15.1,18345.0,30885.0
CONFIPET,2601.0,78.3,28.0,9.23,6.76,42.7,50.0,29.0,40.0,2.0,5.0,13.0,34.0,27.0,False,8.0,10.0,761.0,412.0,0.54,400.0,33.0,28.0,33.0,57.38,55.89,0.81,0.97,0.19,0.04,41.4,2026-07-25T02:45:35,https://www.screener.in/company/CONFIPET/consolidated/,4705.0,1216.0,31.5,1385.0,1418.0
SJVN,26558.0,67.6,41.4,5.57,4.52,36.2,47.0,16.0,13.0,-22.0,-23.0,-19.0,-118.0,-128.0,False,61.0,48.0,32278.0,14059.0,2.27,1860.0,3930.0,3930.0,393.0,81.85,81.85,2.79,2.55,3.74,4.32,,2026-07-25T02:45:37,https://www.screener.in/company/SJVN/consolidated/,4527.0,1496.0,196.8,10309.0,14239.0
NSLNISP,,,,,,,,,,,,,,,False,,,,,,,,,,60.79,60.79,5.48,5.13,15.78,15.34,,2026-07-25T02:45:39,https://www.screener.in/company/NSLNISP/consolidated/,,,,,
EMBDL,8512.0,61.2,,-2.38,-9.1,71.0,-21.0,43.0,3.0,-977.0,,,-323.0,123.0,False,-76.0,1.0,5322.0,693.0,0.54,44.0,278.0,108.0,139.0,42.65,42.66,23.43,26.65,3.02,3.63,64.9,2026-07-25T02:45:41,https://www.screener.in/company/EMBDL/consolidated/,1729.0,342.0,-61.5,9590.0,9868.0
DENTA,898.0,337.0,14.8,18.8,14.0,172.0,23.0,13.0,51.0,15.0,7.0,41.0,9.11,13.72,False,19.29,30.49,12.0,1.0,0.03,-34.0,27.0,5.0,2.7,71.91,71.91,0.0,0.25,0.32,1.9,,2026-07-25T02:58:20,https://www.screener.in/company/DENTA/consolidated/,250.38,55.31,2.1,432.0,459.0
MANINFRA,3903.0,96.7,21.1,13.2,9.16,56.2,-43.0,-31.0,8.0,-35.0,-11.0,43.0,41.0,97.0,False,13.0,36.0,64.0,206.0,0.03,-50.0,81.0,74.0,40.5,62.52,62.29,1.92,5.21,1.13,2.03,,2026-07-25T02:45:43,https://www.screener.in/company/MANINFRA/consolidated/,631.0,146.0,-50.3,2186.0,2267.0
MMTC,9228.0,61.5,92.2,8.66,5.23,14.1,21.0,-93.0,-86.0,3.0,-31.0,3.0,126.0,2.0,False,-18605.0,-12971.0,0.0,203.0,0.0,-605.0,150.0,150.0,150.0,89.93,89.93,0.16,0.09,1.78,1.84,,2026-07-25T02:45:45,https://www.screener.in/company/MMTC/consolidated/,3.0,1.0,,1971.0,2121.0
