symbol,company,score,coverage_pct,vetoed,assessed,veto_reasons,archetypes,arm,close,tag,rs_pctile,tt_checks,pct_below_52w_high,run_3m_pct,vol_expansion,ep,market_cap_cr,median_turnover_cr,median_trades,band_pct,circuit_frac,in_index_universe,atr,stop_suggested,stop_basis,risk_flags,tier,rank
ANDHRSUGAR,The Andhra Sugars Limited,82.9,100.0,False,True,,Deleveraging + Momentum,price,99.51000213623048,CONFIRMED,87.9,8,7.2,16.0,2.37,False,1344.0,6.106,6574.0,20.0,0.0,True,4.48,88.31,2.5xATR (11% wide),,0,1
PREMIERPOL,Premier Polyfilm Limited,80.3,100.0,False,True,,Deleveraging + Momentum,price+mcap,95.36000061035156,CONFIRMED,98.5,8,3.5,71.8,2.26,False,944.0,2.305,3380.0,20.0,0.0,False,5.78,80.91,2.5xATR (15% wide),,0,2
PONNIERODE,Ponni Sugars (Erode) Limited,78.2,100.0,False,True,,Momentum,mcap,382.4500122070313,CONFIRMED,91.0,8,15.9,18.6,2.91,False,351.0,1.841,2185.0,20.0,0.0,False,27.82,312.9,2.5xATR (18% wide),,0,3
SAHYADRI,Sahyadri Industries Limited,76.5,100.0,False,True,,Deleveraging,mcap,392.1499938964844,EXTENDED,95.5,8,2.6,42.9,2.74,False,374.0,0.58,919.0,20.0,0.0,False,18.7,345.4,2.5xATR (12% wide),,0,4
AVTNPL,AVT Natural Products Limited,75.9,100.0,False,True,,Hyper-growth + Momentum,price,91.0199966430664,CONFIRMED,89.9,8,6.2,25.7,3.56,False,1387.0,1.598,2586.0,20.0,0.0,False,4.77,79.09,2.5xATR (13% wide),,0,5
KANPRPLA,Kanpur Plastipack Limited,74.7,100.0,False,True,,Deleveraging + Momentum,mcap,250.1999969482422,CONFIRMED,88.7,8,11.6,27.6,2.62,False,671.0,0.754,893.0,20.0,0.0,False,17.26,207.05,2.5xATR (17% wide),,0,6
ARIES,Aries Agro Limited,73.1,100.0,False,True,,Deleveraging,mcap,500.1000061035156,EXTENDED,88.7,8,3.4,56.6,3.48,False,631.0,2.603,2162.0,20.0,0.0,False,30.23,424.53,2.5xATR (15% wide),,0,7
MAWANASUG,Mawana Sugars Limited,72.6,100.0,False,True,,Momentum,mcap,145.42999267578125,CONFIRMED,96.5,8,11.3,36.6,3.39,False,566.0,8.111,7529.5,20.0,0.0,False,10.93,118.1,2.5xATR (19% wide),,0,8
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,72.6,100.0,False,True,,Hyper-growth,mcap,293.3500061035156,WATCH,77.9,7,11.9,18.1,1.74,False,714.0,1.538,1794.0,20.0,0.0,False,12.86,261.2,2.5xATR (11% wide),,0,9
MUKKA,Mukka Proteins Limited,71.2,100.0,False,True,,Hyper-growth,price+mcap,31.34000015258789,EXTENDED,86.9,7,3.4,44.2,2.91,False,966.0,0.985,1798.0,20.0,0.0,False,1.5,27.59,2.5xATR (12% wide),,0,10
