symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,as_of,built_at
MOTISONS,Motisons Jewellers Limited,EQ,price,17.94,1881.0,62.319,14.77,50744.0,38460687.0,20.0,0,0.0,25,25,2023-12-26,1000.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
CONFIPET,Confidence Petroleum India Limited,EQ,price,88.96,2844.0,28.373,7.288,16328.0,3471549.0,20.0,0,0.0,25,25,2019-06-13,2657.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
JTLIND,JTL INDUSTRIES LIMITED,EQ,price,88.92,3232.0,26.363,6.474,18506.0,3040504.0,20.0,0,0.0,25,25,2023-06-12,1197.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ASIANTILES,Asian Granito India Limited,EQ,price,51.26,1482.0,19.605,4.923,8570.0,3910136.0,10.0,0,0.0,25,25,2007-08-23,6969.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,price+mcap,40.93,763.0,18.656,5.018,15013.0,3757036.0,20.0,0,0.0,25,25,2004-12-31,7934.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MANALIPETC,Manali Petrochemicals Limited,EQ,price,86.71,1413.0,18.303,3.382,13711.0,2153198.0,20.0,0,0.0,25,25,2006-12-06,7229.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SUBEXLTD,Subex Limited,EQ,price,19.61,1107.0,17.84,2.865,17588.0,8841874.0,20.0,0,0.0,25,25,2020-11-05,2146.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SIGACHI,Sigachi Industries Limited,EQ,price,31.12,1131.0,16.325,3.567,11290.0,4523577.0,20.0,0,0.0,25,25,2021-11-15,1771.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
RTNPOWER,RattanIndia Power Limited,EQ,price,7.11,3764.0,13.904,7.723,16142.0,18178604.0,20.0,0,0.0,25,25,2009-10-30,6170.0,True,False,2026-09-21,2026-09-21,2026-09-22 09:42
KAMDHENU,Kamdhenu Limited,EQ,price,42.48,1165.0,12.914,12.914,9641.0,3044269.0,20.0,0,0.0,1,1,2006-05-09,7440.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
UTKARSHBNK,Utkarsh Small Finance Bank Limited,EQ,price,14.0,2454.0,12.606,2.195,8240.0,8467823.0,20.0,0,0.0,25,25,2023-07-21,1158.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
