symbol,industry,tag,archetypes,score,coverage,label,vetoed,veto_reasons
JAMNAAUTO,Automobile and Auto Components,CONFIRMED,Turnaround,87.8,75.0,Conviction,False,
CHENNPETRO,Oil Gas & Consumable Fuels,CONFIRMED,Turnaround,85.6,75.0,Conviction,False,
USHAMART,Capital Goods,CONFIRMED,Turnaround,84.8,75.0,Conviction,False,
HONASA,Fast Moving Consumer Goods,CONFIRMED,Turnaround,84.5,75.0,Conviction,False,
PARAS,Capital Goods,CONFIRMED,Hyper-growth,83.0,75.0,Conviction,False,
EMCURE,Healthcare,CONFIRMED,Turnaround,83.0,75.0,Conviction,False,
OFSS,Information Technology,CONFIRMED,Turnaround,81.5,75.0,Conviction,False,
IPCALAB,Healthcare,CONFIRMED,Turnaround,81.1,75.0,Conviction,False,
BHEL,Capital Goods,CONFIRMED,Turnaround,80.7,75.0,Conviction,False,
NAVINFLUOR,Chemicals,CONFIRMED,(untagged — theme data Phase C),80.4,75.0,Conviction,False,
WELCORP,Capital Goods,CONFIRMED,Turnaround + Quality,80.2,75.0,Conviction,False,
RRKABEL,Capital Goods,CONFIRMED,Turnaround + Quality,79.0,75.0,Conviction,False,
PRIVISCL,Chemicals,CONFIRMED,(untagged — theme data Phase C),78.5,75.0,Conviction,False,
BELRISE,Automobile and Auto Components,CONFIRMED,Turnaround,78.4,75.0,Conviction,False,
SHILPAMED,Healthcare,CONFIRMED,(untagged — theme data Phase C),78.3,75.0,Conviction,False,
DCBBANK,Financial Services,CONFIRMED,(untagged — theme data Phase C),78.2,75.0,Conviction,False,
GRANULES,Healthcare,CONFIRMED,(untagged — theme data Phase C),78.0,75.0,Conviction,False,
GOKULAGRO,Fast Moving Consumer Goods,WATCH,(untagged — theme data Phase C),77.9,75.0,Conviction,False,
SKYGOLD,Consumer Durables,CONFIRMED,Hyper-growth,77.8,75.0,Conviction,False,
CEMPRO,Construction,EXTENDED,(untagged — theme data Phase C),77.6,75.0,Conviction,False,
ANANDRATHI,Financial Services,CONFIRMED,Quality,77.2,75.0,Conviction,False,
SHYAMMETL,Capital Goods,CONFIRMED,(untagged — theme data Phase C),77.2,75.0,Conviction,False,
TMB,Financial Services,CONFIRMED,(untagged — theme data Phase C),77.0,75.0,Conviction,False,
CGCL,Financial Services,WATCH,Hyper-growth,76.8,75.0,Conviction,False,
AVALON,Capital Goods,CONFIRMED,Turnaround,76.4,75.0,Conviction,False,
WABAG,Utilities,CONFIRMED,Quality,76.2,75.0,Conviction,False,
ASTRAMICRO,Capital Goods,EXTENDED,Quality,75.1,75.0,Conviction,False,
SYRMA,Capital Goods,CONFIRMED,(untagged — theme data Phase C),74.2,75.0,Conviction,False,
SANSERA,Automobile and Auto Components,CONFIRMED,(untagged — theme data Phase C),73.4,75.0,Conviction,False,
APLAPOLLO,Capital Goods,WATCH,Turnaround + Quality,73.4,75.0,Conviction,False,
CRAFTSMAN,Automobile and Auto Components,CONFIRMED,Hyper-growth,72.8,75.0,Conviction,False,
HSCL,Chemicals,EXTENDED,Quality,72.7,75.0,Conviction,False,
AARTIIND,Chemicals,CONFIRMED,(untagged — theme data Phase C),72.7,75.0,Conviction,False,
METROPOLIS,Healthcare,CONFIRMED,(untagged — theme data Phase C),72.7,75.0,Conviction,False,
LLOYDSME,Metals & Mining,CONFIRMED,Hyper-growth,72.3,75.0,Conviction,False,
WOCKPHARMA,Healthcare,WATCH,Turnaround,72.3,75.0,Conviction,False,
KIRLOSENG,Capital Goods,CONFIRMED,(untagged — theme data Phase C),72.1,75.0,Conviction,False,
GRWRHITECH,Capital Goods,CONFIRMED,Turnaround,71.6,75.0,Conviction,False,
LUPIN,Healthcare,CONFIRMED,Quality,71.6,75.0,Conviction,False,
SENCO,Consumer Durables,WATCH,Hyper-growth,71.5,75.0,Conviction,False,
SOUTHBANK,Financial Services,CONFIRMED,(untagged — theme data Phase C),71.3,75.0,Conviction,False,
PNBHOUSING,Financial Services,CONFIRMED,(untagged — theme data Phase C),71.1,75.0,Conviction,False,
PGIL,Textiles,CONFIRMED,(untagged — theme data Phase C),70.8,75.0,Conviction,False,
GLAND,Healthcare,CONFIRMED,(untagged — theme data Phase C),70.7,75.0,Conviction,False,
AEGISLOG,Oil Gas & Consumable Fuels,EXTENDED,(untagged — theme data Phase C),70.3,75.0,Conviction,False,
CCL,Fast Moving Consumer Goods,CONFIRMED,Hyper-growth,70.3,75.0,Conviction,False,
AJANTPHARM,Healthcare,CONFIRMED,Quality,69.7,75.0,Conviction,False,
ABCAPITAL,Financial Services,CONFIRMED,(untagged — theme data Phase C),69.0,75.0,Conviction,False,
SAILIFE,Healthcare,CONFIRMED,Turnaround,68.9,75.0,Conviction,False,
ACMESOLAR,Power,CONFIRMED,(untagged — theme data Phase C),68.7,75.0,Conviction,False,
GRINDWELL,Capital Goods,WATCH,(untagged — theme data Phase C),68.6,75.0,Conviction,False,
CAPLIPOINT,Healthcare,WATCH,Turnaround + Quality,68.5,75.0,Conviction,False,
NETWEB,Information Technology,WATCH,Hyper-growth,67.6,75.0,Conviction,False,
NAM-INDIA,Financial Services,WATCH,Quality,67.6,75.0,Conviction,False,
MARKSANS,Healthcare,WATCH,(untagged — theme data Phase C),67.4,75.0,Conviction,False,
AKUMS,Healthcare,EXTENDED,Turnaround,67.0,75.0,Conviction,False,
ALIVUS,Healthcare,CONFIRMED,(untagged — theme data Phase C),66.8,45.0,Technical Read,False,
ASTERDM,Healthcare,CONFIRMED,Turnaround,65.8,75.0,Conviction,False,
LLOYDSENGG,Capital Goods,CONFIRMED,(untagged — theme data Phase C),65.7,75.0,Conviction,False,
GAEL,Fast Moving Consumer Goods,WATCH,(untagged — theme data Phase C),65.5,75.0,Conviction,False,
INOXINDIA,Capital Goods,CONFIRMED,Quality,64.3,75.0,Conviction,False,
TIPSMUSIC,Media Entertainment & Publication,CONFIRMED,Quality,63.6,75.0,Conviction,False,
ATHERENERG,Automobile and Auto Components,CONFIRMED,Hyper-growth,63.5,75.0,Conviction,False,
RAIN,Chemicals,CONFIRMED,Turnaround,63.0,75.0,Conviction,False,
PRUDENT,Financial Services,CONFIRMED,Quality,62.9,75.0,Conviction,False,
STARHEALTH,Financial Services,CONFIRMED,(untagged — theme data Phase C),60.9,75.0,Conviction,False,
MANORAMA,Fast Moving Consumer Goods,CONFIRMED,(untagged — theme data Phase C),60.7,75.0,Conviction,False,
VIJAYA,Healthcare,WATCH,(untagged — theme data Phase C),60.4,75.0,Conviction,False,
VOLTAMP,Capital Goods,WATCH,(untagged — theme data Phase C),59.3,75.0,Conviction,False,
BHARATFORG,Automobile and Auto Components,CONFIRMED,(untagged — theme data Phase C),59.0,75.0,Conviction,False,
AUROPHARMA,Healthcare,CONFIRMED,(untagged — theme data Phase C),58.7,75.0,Conviction,False,
FLUOROCHEM,Chemicals,EXTENDED,(untagged — theme data Phase C),58.6,75.0,Conviction,False,
AUBANK,Financial Services,BROKEN,(untagged — theme data Phase C),58.1,55.0,Technical Read,False,
JINDALSAW,Capital Goods,CONFIRMED,(untagged — theme data Phase C),57.4,75.0,Conviction,False,
BANKINDIA,Financial Services,WATCH,(untagged — theme data Phase C),57.4,75.0,Conviction,False,
AZAD,Capital Goods,CONFIRMED,Hyper-growth,56.5,75.0,Conviction,False,
CCAVENUE,Financial Services,WATCH,Hyper-growth,56.4,75.0,Conviction,False,
ICIL,Textiles,CONFIRMED,(untagged — theme data Phase C),56.1,75.0,Conviction,False,
RBLBANK,Financial Services,WATCH,(untagged — theme data Phase C),55.7,75.0,Conviction,False,
KTKBANK,Financial Services,CONFIRMED,(untagged — theme data Phase C),55.0,75.0,Conviction,False,
LLOYDSENT,Metals & Mining,WATCH,(untagged — theme data Phase C),54.8,75.0,Conviction,False,
SCHNEIDER,Capital Goods,CONFIRMED,(untagged — theme data Phase C),54.4,75.0,Conviction,False,
CRISIL,Financial Services,WATCH,(untagged — theme data Phase C),53.4,75.0,Conviction,False,
ZYDUSWELL,Fast Moving Consumer Goods,CONFIRMED,(untagged — theme data Phase C),52.3,75.0,Conviction,False,
BHARTIHEXA,Telecommunication,ANTICIPATION,Turnaround,51.3,75.0,Conviction,False,
RATEGAIN,Information Technology,WATCH,Hyper-growth,51.1,75.0,Conviction,False,
ABBOTINDIA,Healthcare,ANTICIPATION,Quality,48.9,75.0,Conviction,False,
BALRAMCHIN,Fast Moving Consumer Goods,CONFIRMED,(untagged — theme data Phase C),48.6,75.0,Conviction,False,
IFCI,Financial Services,WATCH,(untagged — theme data Phase C),47.7,75.0,Conviction,False,
NEOGEN,Chemicals,CONFIRMED,(untagged — theme data Phase C),47.4,75.0,Conviction,False,
KIMS,Healthcare,WATCH,(untagged — theme data Phase C),46.8,75.0,Conviction,False,
LTTS,Information Technology,BROKEN,(untagged — theme data Phase C),45.8,75.0,Conviction,False,
COROMANDEL,Chemicals,BROKEN,(untagged — theme data Phase C),41.5,75.0,Conviction,False,
RKFORGE,Automobile and Auto Components,WATCH,(untagged — theme data Phase C),38.2,75.0,Conviction,False,
KFINTECH,Financial Services,BROKEN,Quality,36.4,75.0,Conviction,False,
THYROCARE,Healthcare,WATCH,Quality,25.0,75.0,Conviction,True,promoter_pledge: 100.0% of promoter holding pledged
NUVAMA,Financial Services,EXTENDED,(untagged — theme data Phase C),25.0,75.0,Conviction,True,promoter_pledge: 62.8% of promoter holding pledged
TVSSCS,Services,WATCH,(untagged — theme data Phase C),25.0,75.0,Conviction,True,promoter_pledge: 31.9% of promoter holding pledged
INDUSINDBK,Financial Services,CONFIRMED,(untagged — theme data Phase C),25.0,75.0,Conviction,True,promoter_pledge: 42.8% of promoter holding pledged
