symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,gsm_stage,asm,exclude_reason,gate_reason
20MICRONS,20 Microns Limited,EQ,mcap,204.23,721.0,3.81,1.687,4264.0,194575.0,20.0,0,0.0,25,25,2008-10-06,6500.0,False,False,2026-07-24,,,,
21STCENMGM,21st Century Management Services Limited,EQ,price,37.11,,0.009,0.001,39.0,2743.0,2.0,5,0.2,25,25,1995-05-03,11405.0,False,False,2026-07-24,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; 2% circuit band — cannot exit on bad news; illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 39 trades/day median — one operator's book, not a market","ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; 2% circuit band — cannot exit on bad news; illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 39 trades/day median — one operator's book, not a market"
360ONE,360 ONE WAM LIMITED,EQ,,1102.3,45122.0,141.291,43.325,42371.0,1252279.0,,0,0.0,25,25,2019-09-19,2500.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
3BBLACKBIO,3B Blackbio Dx Limited,EQ,,1278.1,1097.0,1.343,0.275,1232.0,11299.0,20.0,0,0.0,25,25,2026-04-20,95.0,False,False,2026-07-24,,,"listed 95d ago — under a year of history, no trend to read","listed 95d ago — under a year of history, no trend to read"
3IINFOLTD,3i Infotech Limited,EQ,price+mcap,19.74,409.0,0.548,0.171,1083.0,299618.0,20.0,0,0.0,25,25,2021-10-22,1736.0,False,False,2026-07-24,,,,
3MINDIA,3M India Limited,EQ,,35500.0,39710.0,13.681,5.058,2264.0,3974.0,20.0,0,0.0,25,25,2004-08-13,8015.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
3PLAND,3P Land Holdings Limited,EQ,price,31.57,,0.01,0.002,67.0,3135.0,20.0,0,0.0,25,25,1995-07-19,11328.0,False,False,2026-07-24,,,"illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 67 trades/day median — one operator's book, not a market","illiquid: Rs1 lakh median daily turnover (floor Rs50 lakh); only 67 trades/day median — one operator's book, not a market"
5PAISA,5Paisa Capital Limited,EQ,,373.1,1749.0,2.217,0.728,2359.0,57567.0,20.0,0,0.0,25,25,2017-11-16,3172.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
63MOONS,63 moons technologies limited,EQ,,708.3,3264.0,9.667,4.343,5478.0,142313.0,20.0,0,0.0,25,25,2005-06-20,7704.0,False,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
A2ZINFRA,A2Z Infra Engineering Limited,EQ,price,12.46,,0.237,0.091,503.0,175649.0,10.0,0,0.0,25,25,2010-12-23,5692.0,False,False,2026-07-24,,,illiquid: Rs24 lakh median daily turnover (floor Rs50 lakh),illiquid: Rs24 lakh median daily turnover (floor Rs50 lakh)
AAATECH,AAA Technologies Limited,EQ,price,89.66,,0.175,0.037,754.0,18451.0,20.0,0,0.0,25,25,2022-11-28,1334.0,False,False,2026-07-24,,,illiquid: Rs18 lakh median daily turnover (floor Rs50 lakh),illiquid: Rs18 lakh median daily turnover (floor Rs50 lakh)
AADHARHFC,Aadhar Housing Finance Limited,EQ,,495.0,24298.0,21.161,6.781,18839.0,403259.0,20.0,0,0.0,25,25,2024-05-15,800.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AAKASH,Aakash Exploration Services Limited,EQ,price,8.92,,0.086,0.024,336.0,95093.0,20.0,0,0.0,25,25,2020-09-29,2124.0,False,False,2026-07-24,,,illiquid: Rs9 lakh median daily turnover (floor Rs50 lakh),illiquid: Rs9 lakh median daily turnover (floor Rs50 lakh)
AARNAV,Aarnav Fashions Limited,EQ,price,28.32,,0.098,0.018,275.0,39526.0,20.0,1,0.04,25,25,2026-02-25,149.0,False,False,2026-07-24,,ST Stage I,"ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging; listed 149d ago — under a year of history, no trend to read; illiquid: Rs10 lakh median daily turnover (floor Rs50 lakh); only 275 trades/day median — one operator's book, not a market","ASM ST Stage I — surveillance: 100% margin, no intraday, no pledging; listed 149d ago — under a year of history, no trend to read; illiquid: Rs10 lakh median daily turnover (floor Rs50 lakh); only 275 trades/day median — one operator's book, not a market"
AARON,Aaron Industries Limited,EQ,,135.25,,0.099,0.019,281.0,8527.0,20.0,1,0.04,25,25,2020-11-06,2086.0,False,False,2026-07-24,,,"illiquid: Rs10 lakh median daily turnover (floor Rs50 lakh); only 281 trades/day median — one operator's book, not a market","illiquid: Rs10 lakh median daily turnover (floor Rs50 lakh); only 281 trades/day median — one operator's book, not a market"
AARTECH,Aartech Solonics Limited,BE,price,49.66,,0.711,0.07,1155.0,140901.0,5.0,5,0.357,14,14,2023-07-10,1110.0,False,False,2026-07-09,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; closed at circuit on 36% of sessions — a stop cannot fill in a locked market,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; closed at circuit on 36% of sessions — a stop cannot fill in a locked market
AARTIDRUGS,Aarti Drugs Limited,EQ,,404.5,3528.0,7.46,3.055,4877.0,191215.0,20.0,0,0.0,25,25,2003-09-19,8344.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
AARTIIND,Aarti Industries Limited,EQ,,477.8,17331.0,35.42,14.729,18653.0,713939.0,20.0,0,0.0,25,25,1995-02-08,11489.0,True,False,2026-07-24,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,
